Game,Flavor Text
red,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.
blue,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.
yellow,Emits ultrasonic cries while it flies. They act as a sonar used to check for ob­ jects in its way.
gold,"While flying, it constantly emits ultrasonic waves from its mouth to check its sur­ roundings."
silver,"Capable of flying safely in dark places, it emits ultrasonic cries to check for any obstacles."
crystal,"During the day, it gathers with others and hangs from the ceilings of old buildings and caves."
ruby,ZUBAT remains quietly unmoving in a dark spot during the bright daylight hours. It does so because prolonged exposure to the sun causes its body to become slightly burned.
sapphire,"ZUBAT avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down."
emerald,"While living in pitch-black caverns, their eyes gradually grew shut and deprived them of vision. They use ultrasonic waves to detect obstacles."
firered,"It has no eyes. Instead, it relies on its ultrasonic cries for echo location to flit about in darkness."
leafgreen,It forms colonies in perpetually dark  places and uses ultrasonic waves to   identify and approach targets.
diamond,"Even though it has no eyes, it can sense obstacles using ultrasonic waves it emits from its mouth."
pearl,"Disliking sunlight, it sleeps deep in forests and caves until sundown."
platinum,It checks its surroundings and location using reflections of the ultrasonic waves from its mouth.
heartgold,"While flying, it constantly emits ultrasonic waves from its mouth to check its surroundings."
soulsilver,"Capable of flying safely in dark places, it emits ultrasonic cries to check for any obstacles."
black,It checks its surroundings and location using reflections of the ultrasonic waves from its mouth.
white,It checks its surroundings and location using reflections of the ultrasonic waves from its mouth.
black-2,"It does not need eyes, because it emits ultrasonic waves to check its surroundings while it flies."
white-2,"It does not need eyes, because it emits ultrasonic waves to check its surroundings while it flies."
x,"Even though it has no eyes, it can sense obstacles using ultrasonic waves it emits from its mouth."
y,"It has no eyes. Instead, it relies on its ultrasonic cries for echolocation to flit about in darkness."
omega-ruby,Zubat remains quietly unmoving in a dark spot during the bright daylight hours. It does so because prolonged exposure to the sun causes its body to become slightly burned.
alpha-sapphire,"Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down."
sun,"It sleeps in caves during the day. It has no eyes, so to check its surroundings while flying, it emits ultrasonic waves."
moon,"When exposed to sunlight, they suffer burns. The frequency of their ultrasonic waves can differ slightly from colony to colony."
ultra-sun,"It has no eyeballs, so it can’t see. It checks its surroundings via the ultrasonic waves it emits from its mouth."
ultra-moon,"Their skin is so thin that they’ll be burned if sunlight hits them. When it gets cold out, they gather together to warm one another’s bodies."
lets-go-pikachu,Emits ultrasonic cries while it flies. They act as a sonar used to check for objects in its way.
lets-go-eevee,Emits ultrasonic cries while it flies. They act as a sonar used to check for objects in its way.
sword,"It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves, Zubat flies around with skill."
shield,"Zubat live in caves, down where the sun’s light won’t reach. In the morning, they gather together to keep each other warm as they sleep."
legends-arceus,"Makes its home in gloomy caves. Atrophied eyes have left this Pokémon blind, so it scans its surroundings via sound waves that it emits from its mouth as it flies."
