Game,Flavor Text
red,The infant rarely ventures out of its mother's protective pouch until it is 3 years old.
blue,The infant rarely ventures out of its mother's protective pouch until it is 3 years old.
yellow,Raises its young in its belly pouch. Won't run from any fight to keep its young protected.
gold,"If it is safe, the young gets out of the belly pouch to play. The adult keeps a close eye on the youngster."
silver,"To protect its young, it will never give up during battle, no matter how badly wounded it is."
crystal,"To avoid crushing the baby it carries in its pouch, it always sleeps standing up."
ruby,"If you come across a young KANGASKHAN playing by itself, you must never disturb it or attempt to catch it. The baby POKéMON’s parent is sure to be in the area, and it will become violently enraged at you."
sapphire,"If you come across a young KANGASKHAN playing by itself, you must never disturb it or attempt to catch it. The baby POKéMON’s parent is sure to be in the area, and it will become violently enraged at you."
emerald,"If you come across a young KANGASKHAN playing by itself, never try to catch it. The baby’s parent is sure to be in the area, and it will become violently enraged."
firered,The female raises its offspring in a pouch on its belly. It is skilled at attacking using COMET PUNCH.
leafgreen,The infant rarely ventures out of its mother’s protective pouch until it is three years old.
diamond,It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.
pearl,It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.
platinum,It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.
heartgold,"If it is safe, the young gets out of the belly pouch to play. The adult keeps a close eye on the youngster."
soulsilver,"To protect its young, it will never give up during battle, no matter how badly wounded it is."
black,It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.
white,It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.
black-2,It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.
white-2,It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.
x,It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.
y,"If it is safe, the young gets out of the belly pouch to play. The adult keeps a close eye on the youngster."
omega-ruby,"If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokémon’s parent is sure to be in the area, and it will become violently enraged at you."
alpha-sapphire,"If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokémon’s parent is sure to be in the area, and it will become violently enraged at you."
sun,Kangaskhan’s maternal love is so deep that it will brave death to protect its offspring.
moon,The child in its pouch leaves home after roughly three years. That is the only time the mother is heard to cry wildly.
ultra-sun,Kangaskhan protects its child by keeping it in its pouch. It has zero forgiveness for those who harm its child and will beat them down.
ultra-moon,You shouldn’t get close to the child when it’s playing outside its mother’s pouch. Its mother is always nearby watching over it.
lets-go-pikachu,Raises its young in its belly pouch. Won’t run from any fight to keep its young protected.
lets-go-eevee,Raises its young in its belly pouch. Won’t run from any fight to keep its young protected.
sword,"Although it’s carrying its baby in a pouch on its belly, Kangaskhan is swift on its feet. It intimidates its opponents with quick jabs."
shield,There are records of a lost human child being raised by a childless Kangaskhan.
