Game,Flavor Text
ruby,CARVANHA’s strongly developed jaws and its sharply pointed fangs pack the destructive power to rip out boat hulls. Many boats have been attacked and sunk by this POKéMON.
sapphire,"If anything invades CARVANHA’s territory, it will swarm and tear at the intruder with its pointed fangs. On its own, however, this POKéMON turns suddenly timid."
emerald,"CARVANHA attack ships in swarms, making them sink. Although it is said to be a very vicious POKéMON, it timidly flees as soon as it finds itself alone."
firered,It lives in massive rivers that course through jungles. It swarms prey that enter its territory.
leafgreen,It lives in massive rivers that course through jungles. It swarms prey that enter its territory.
diamond,They swarm any foe that invades their territory. Their sharp fangs can tear out boat hulls.
pearl,They swarm any foe that invades their territory. Their sharp fangs can tear out boat hulls.
platinum,They swarm any foe that invades their territory. Their sharp fangs can tear out boat hulls.
heartgold,They form packs to attack boats and rip out their hulls to sink them. They live in rivers in the jungle.
soulsilver,They form packs to attack boats and rip out their hulls to sink them. They live in rivers in the jungle.
black,They swarm any foe that invades their territory. Their sharp fangs can tear out boat hulls.
white,They swarm any foe that invades their territory. Their sharp fangs can tear out boat hulls.
black-2,They swarm any foe that invades their territory. Their sharp fangs can tear out boat hulls.
white-2,They swarm any foe that invades their territory. Their sharp fangs can tear out boat hulls.
x,They form packs to attack boats and rip out their hulls to sink them. They live in rivers in the jungle.
y,It lives in massive rivers that course through jungles. It swarms prey that enter its territory.
omega-ruby,Carvanha’s strongly developed jaws and its sharply pointed fangs pack the destructive power to rip out boat hulls. Many boats have been attacked and sunk by this Pokémon.
alpha-sapphire,"If anything invades Carvanha’s territory, it will swarm and tear at the intruder with its pointed fangs. On its own, however, this Pokémon turns suddenly timid."
sun,Each school has its own territory. Any intruders are mercilessly attacked with fangs bared.
moon,"If they scent the faintest trace of blood, they rush to attack en masse. When alone, they’re rather cowardly."
ultra-sun,"They’re such cowards that they won’t hunt alone. When five or so of them get together, they suddenly turn ferocious!"
ultra-moon,"With its sturdy jaws and fangs, it can easily chomp wooden boats to splinters. It fights with Basculin over food."
sword,"It won’t attack while it’s alone—not even if it spots prey. Instead, it waits for other Carvanha to join it, and then the Pokémon attack as a group."
shield,These Pokémon have sharp fangs and powerful jaws. Sailors avoid Carvanha dens at all costs.
