Game,Flavor Text
gold,"A very cautious POKéMON, it raises itself up using its tail to get a better view of its surroundings."
silver,"It stands on its tail so it can see a long way. If it spots an enemy, it cries loudly to warn its kind."
crystal,"When acting as a lookout, it warns others of danger by screeching and hitting the ground with its tail."
ruby,"When SENTRET sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this POKéMON becomes separated from its pack, it becomes incapable of sleep due to fear."
sapphire,"When SENTRET sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this POKéMON becomes separated from its pack, it becomes incapable of sleep due to fear."
emerald,"They take turns standing guard when it is time to sleep. The sentry awakens the others if it senses danger. If one becomes separated, it turns sleepless with fear."
firered,"It stands on its tail so it can see a long way. If it spots an enemy, it cries loudly to warn its kind."
leafgreen,"A very cautious POKéMON, it raises itself up using its tail to get a better view of its surroundings."
diamond,It has a very nervous nature. It stands up high on its tail so it can scan wide areas.
pearl,It has a very nervous nature. It stands up high on its tail so it can scan wide areas.
platinum,It has a very nervous nature. It stands up high on its tail so it can scan wide areas.
heartgold,"A very cautious Pokémon, it raises itself up using its tail to get a better view of its surroundings."
soulsilver,"It stands on its tail so it can see a long way. If it spots an enemy, it cries loudly to warn its kind."
black,It has a very nervous nature. It stands up high on its tail so it can scan wide areas.
white,It has a very nervous nature. It stands up high on its tail so it can scan wide areas.
black-2,It has a very nervous nature. It stands up high on its tail so it can scan wide areas.
white-2,It has a very nervous nature. It stands up high on its tail so it can scan wide areas.
x,"When acting as a lookout, it warns others of danger by screeching and hitting the ground with its tail."
y,"It stands on its tail so it can see a long way. If it spots an enemy, it cries loudly to warn its kind."
omega-ruby,"When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear."
alpha-sapphire,"When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear."
