Game,Flavor Text
red,"Because of its ability to slip through block walls, it is said to be from an­ other dimension."
blue,"Because of its ability to slip through block walls, it is said to be from an­ other dimension."
yellow,"By licking, it saps the victim's life. It causes shaking that won't stop until the victim's demise."
gold,"In total darkness, where nothing is visible, HAUNTER lurks, silently stalking its next victim."
silver,"Its tongue is made of gas. If licked, its victim starts shaking constantly until death even­ tually comes."
crystal,"It hides in the dark, planning to take the life of the next living thing that wanders close by."
ruby,"HAUNTER is a dangerous POKéMON. If one beckons you while floating in darkness, you must never approach it. This POKéMON will try to lick you with its tongue and steal your life away."
sapphire,"HAUNTER is a dangerous POKéMON. If one beckons you while floating in darkness, you must never approach it. This POKéMON will try to lick you with its tongue and steal your life away."
emerald,"If a HAUNTER beckons you while it is floating in darkness, don’t approach it. This POKéMON will try to lick you with its tongue and steal your life away."
firered,"If you get the feeling of being watched in darkness when nobody is around, HAUNTER is there."
leafgreen,"Because of its ability to slip through block walls, it is said to be from another dimension."
diamond,It can slip through any obstacle. It lurks inside walls to keep an eye on its foes.
pearl,It licks with its gaseous tongue to steal the victim’s life force. It lurks in darkness for prey.
platinum,It likes to lurk in the dark and tap shoulders with a gaseous hand. Its touch causes endless shuddering.
heartgold,"In total darkness, where nothing is visible, HAUNTER lurks, silently stalking its next victim."
soulsilver,"Its tongue is made of gas. If licked, its victim starts shaking constantly until death eventually comes."
black,It likes to lurk in the dark and tap shoulders with a gaseous hand. Its touch causes endless shuddering.
white,It likes to lurk in the dark and tap shoulders with a gaseous hand. Its touch causes endless shuddering.
black-2,It likes to lurk in the dark and tap shoulders with a gaseous hand. Its touch causes endless shuddering.
white-2,It likes to lurk in the dark and tap shoulders with a gaseous hand. Its touch causes endless shuddering.
x,"If you get the feeling of being watched in darkness when nobody is around, Haunter is there."
y,It licks with its gaseous tongue to steal the victim’s life force. It lurks in darkness for prey.
omega-ruby,"Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away."
alpha-sapphire,"Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away."
sun,It strikes at humans from total darkness. Those licked by its cold tongue grow weaker with each passing day until they die.
moon,It fears the light and revels in the dark. It may be on the verge of extinction in cities that stay brightly lit at night.
ultra-sun,"On moonless nights, Haunter searches for someone to curse, so it’s best not to go out walking around."
ultra-moon,"It’s dangerous to go outside alone on nights when you’re feeling sad. Haunter will catch you, and you won’t be able to go back home."
lets-go-pikachu,"By licking, it saps the victim’s life. It causes shaking that won’t stop until the victim’s demise."
lets-go-eevee,"By licking, it saps the victim’s life. It causes shaking that won’t stop until the victim’s demise."
sword,"Its tongue is made of gas. If licked, its victim starts shaking constantly until death eventually comes."
shield,"If you get the feeling of being watched in darkness when nobody is around, Haunter is there."
legends-arceus,"This frightful, malevolent spirit can glide through walls, appearing wherever it likes. According to rumor, victims of a Haunter's lick will wither to death day by day."
