Game,Flavor Text
gold,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop."
silver,"Its extremely flexible and elas­ tic body makes it bounce continuous­ ly--anytime, any­ where."
crystal,"Instead of walking with its short legs, it moves around by bouncing on its soft, tender body."
ruby,IGGLYBUFF’s vocal chords are not sufficiently developed. It would hurt its throat if it were to sing too much. This POKéMON gargles with freshwater from a clean stream.
sapphire,IGGLYBUFF has a soft and plushy body that feels very much like a marshmallow. From this body wafts a gently sweet fragrance that soothes and calms the emotions of its foes.
emerald,"Its soft and pliable body is very bouncy. When it sings continuously with all its might, its body steadily turns a deepening pink color."
firered,"Its extremely flexible and elastic body makes it bounce continuously--anytime, anywhere."
leafgreen,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop."
diamond,"It has a soft and bouncy body. Once it starts bouncing, it becomes impossible to stop."
pearl,"It has a soft and bouncy body. Once it starts bouncing, it becomes impossible to stop."
platinum,"It has a soft and bouncy body. Once it starts bouncing, it becomes impossible to stop."
heartgold,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop."
soulsilver,"Its extremely flexible and elastic body makes it bounce continuously--anytime, anywhere."
black,"It has a soft and bouncy body. Once it starts bouncing, it becomes impossible to stop."
white,"It has a soft and bouncy body. Once it starts bouncing, it becomes impossible to stop."
black-2,"Its body has a faintly sweet scent and is bouncy and soft. If it bounces even once, it cannot stop."
white-2,"Its body has a faintly sweet scent and is bouncy and soft. If it bounces even once, it cannot stop."
x,"Instead of walking with its short legs, it moves around by bouncing on its soft, tender body."
y,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop."
omega-ruby,Igglybuff’s vocal cords are not sufficiently developed. It would hurt its throat if it were to sing too much. This Pokémon gargles with freshwater from a clean stream.
alpha-sapphire,Igglybuff has a soft and plushy body that feels very much like a marshmallow. From this body wafts a gently sweet fragrance that soothes and calms the emotions of its foes.
sun,"It likes to sing but is not yet good at it. With praise and encouragement, it will get better little by little."
moon,"It moves by bouncing along. As it moves a lot, it sweats, and its body gives off a sweet aroma."
ultra-sun,"It’s always practicing its singing because it wants to improve. Even when it’s asleep, it keeps singing in its dreams!"
ultra-moon,"Left to its own devices, it will constantly practice singing. You should make it take a break so it doesn’t hurt its throat."
sword,Igglybuff loves to sing. Its marshmallow-like body gives off a faint sweet smell.
shield,"Taking advantage of the softness of its body, Igglybuff moves as if bouncing. Its body turns a deep pink when its temperature rises."
