Game,Flavor Text
red,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.
blue,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.
yellow,"Its genetic code is unstable, so it could evolve in a variety of ways. There are only a few alive."
gold,It has the ability to alter the com­ position of its body to suit its surrounding envi­ ronment.
silver,Its irregularly configured DNA is affected by its surroundings. It evolves if its en­ vironment changes.
crystal,Its ability to evolve into many forms allows it to adapt smoothly and perfectly to any environment.
ruby,EEVEE has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various STONES causes this POKéMON to evolve.
sapphire,EEVEE has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various STONES causes this POKéMON to evolve.
emerald,An EEVEE has an unstable genetic makeup that suddenly mutates due to its environment. Radiation from various STONES causes this POKéMON to evolve.
firered,An extremely rare POKéMON that may evolve in a number of different ways depending on stimuli.
leafgreen,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONES.
diamond,A rare Pokémon that adapts to harsh environments by taking on different evolutionary forms.
pearl,A rare Pokémon that adapts to harsh environments by taking on different evolutionary forms.
platinum,"Because its genetic makeup is irregular, it quickly changes its form due to a variety of causes."
heartgold,It has the ability to alter the composition of its body to suit its surrounding environment.
soulsilver,Its irregularly configured DNA is affected by its surroundings. It evolves if its environment changes.
black,"Because its genetic makeup is irregular, it quickly changes its form due to a variety of causes."
white,"Because its genetic makeup is irregular, it quickly changes its form due to a variety of causes."
black-2,"Thanks to its unstable genetic makeup, this special Pokémon conceals many different possible evolutions."
white-2,"Thanks to its unstable genetic makeup, this special Pokémon conceals many different possible evolutions."
x,A rare Pokémon that adapts to harsh environments by taking on different evolutionary forms.
y,"Thanks to its unstable genetic makeup, this special Pokémon conceals many different possible evolutions."
omega-ruby,Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokémon to evolve.
alpha-sapphire,Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokémon to evolve.
sun,"Possessing an unbalanced and unstable genetic makeup, it conceals many possible evolutions."
moon,Current studies show it can evolve into an incredible eight different species of Pokémon.
ultra-sun,The question of why only Eevee has such unstable genes has still not been solved.
ultra-moon,Its genes are easily influenced by its surroundings. Even its face starts to look like that of its Trainer.
lets-go-pikachu,It can evolve into a variety of forms. Eevee’s genes are the key to solving the mysteries of Pokémon evolution.
lets-go-eevee,It can evolve into a variety of forms. Eevee’s genes are the key to solving the mysteries of Pokémon evolution.
sword,It has the ability to alter the composition of its body to suit its surrounding environment.
shield,"Thanks to its unstable genetic makeup, this special Pokémon conceals many different possible evolutions."
legends-arceus,Harbors the potential to evolve into manifold forms. Within Eevee lies the key to the mysteries of Pokémon evolution—I'm certain of it.
