Game,Flavor Text
red,"With ninja-like agility and speed, it can create the illusion that there is more than one."
blue,"With ninja-like agility and speed, it can create the illusion that there is more than one."
yellow,Leaps out of tall grass and slices prey with its scythes. The move­ ment looks like that of a ninja.
gold,"It slashes through grass with its sharp scythes, moving too fast for the human eye to track."
silver,"When it moves, it leaves only a blur. If it hides in grass, its pro­ tective colors make it invisible."
crystal,It's very proud of its speed. It moves so fast that its opponent does not even know what knocked it down.
ruby,"SCYTHER is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This POKéMON’s scythes are so effective, they can slice through thick logs in one wicked stroke."
sapphire,"SCYTHER is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This POKéMON’s scythes are so effective, they can slice through thick logs in one wicked stroke."
emerald,Its blindingly fast speed adds to the sharpness of its twin forearm scythes. The scythes can slice through thick logs in one wicked stroke.
firered,It tears and shreds prey with its wickedly sharp scythes. It very rarely spreads its wings to fly.
leafgreen,"With ninja-like agility and speed, it can create the illusion that there is more than one of itself."
diamond,It is nearly impossible to parry its attacking scythes. Its movements are like a ninja’s.
pearl,It is nearly impossible to parry its attacking scythes. Its movements are like a ninja’s.
platinum,The sharp scythes on its forearms become increasingly sharp by cutting through hard objects.
heartgold,"It slashes through grass with its sharp scythes, moving too fast for the human eye to track."
soulsilver,"When it moves, it leaves only a blur. If it hides in grass, its protective coloration makes it invisible."
black,The sharp scythes on its forearms become increasingly sharp by cutting through hard objects.
white,The sharp scythes on its forearms become increasingly sharp by cutting through hard objects.
black-2,The sharp scythes on its forearms become increasingly sharp by cutting through hard objects.
white-2,The sharp scythes on its forearms become increasingly sharp by cutting through hard objects.
x,It tears and shreds prey with its wickedly sharp scythes. It very rarely spreads its wings to fly.
y,"It slashes through grass with its sharp scythes, moving too fast for the human eye to track."
omega-ruby,"Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokémon’s scythes are so effective, they can slice through thick logs in one wicked stroke."
alpha-sapphire,"Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokémon’s scythes are so effective, they can slice through thick logs in one wicked stroke."
sun,"It confuses its prey with its quick, ninja-like movements. Then, in an instant, it cleaves them with its scythes."
moon,"While young, they live together deep in the mountains, training themselves in how to fight with their scythes and move at high speeds."
ultra-sun,Its two sharp scythes are more than just weapons. It uses them with dexterity to dress its prey before eating.
ultra-moon,Some call it a ninja. Its movements— imperceptibly quick—are sufficient to cleave the air in two. It’s very popular in Alola.
lets-go-pikachu,Leaps out of tall grass and slices prey with its scythes. The movement looks like that of a ninja.
lets-go-eevee,Leaps out of tall grass and slices prey with its scythes. The movement looks like that of a ninja.
sword,"As Scyther fights more and more battles, its scythes become sharper and sharper. With a single slice, Scyther can fell a massive tree."
shield,"If you come across an area in a forest where a lot of the trees have been cut down, what you’ve found is a Scyther’s territory."
legends-arceus,"The large, wickedly sharp scythes on its forearms are truly fearsome weapons. Prey's attempts to flee are unfailingly thwarted by this Pokémon's nimble motions."
