Game,Flavor Text
ruby,"LINOONE always runs full speed and only in straight lines. If facing an obstacle, it makes a right-angle turn to evade it. This POKéMON is very challenged by gently curving roads."
sapphire,"When hunting, LINOONE will make a beeline straight for the prey at a full run. While this POKéMON is capable of topping 60 mph, it has to come to a screeching halt before it can turn."
emerald,"It is exceedingly fast if it only has to run in a straight line. When it spots pond- dwelling prey underwater, it quickly leaps in and catches it with its sharp claws."
firered,"When running in a straight line, it can top 60 miles per hour. However, it has a tough time with curved roads."
leafgreen,"When running in a straight line, it can top 60 miles per hour. However, it has a tough time with curved roads."
diamond,"It charges prey at speeds over 60 mph. However, because it can only run straight, it often fails."
pearl,"It charges prey at speeds over 60 mph. However, because it can only run straight, it often fails."
platinum,"It charges prey at speeds over 60 mph. However, because it can only run straight, it often fails."
heartgold,"When running in a straight line, it can easily top 60 miles an hour. It has a tough time with curved roads."
soulsilver,"When running in a straight line, it can easily top 60 miles an hour. It has a tough time with curved roads."
black,"It charges prey at speeds over 60 mph. However, because it can only run straight, it often fails."
white,"It charges prey at speeds over 60 mph. However, because it can only run straight, it often fails."
black-2,"It charges prey at speeds over 60 mph. However, because it can only run straight, it often fails."
white-2,"It charges prey at speeds over 60 mph. However, because it can only run straight, it often fails."
x,"When running in a straight line, it can easily top 60 miles an hour. It has a tough time with curved roads."
y,"It charges prey at speeds over 60 mph. However, because it can only run straight, it often fails."
omega-ruby,"Linoone always runs full speed and only in straight lines. If facing an obstacle, it makes a right-angle turn to evade it. This Pokémon is very challenged by gently curving roads."
alpha-sapphire,"When hunting, Linoone will make a beeline straight for the prey at a full run. While this Pokémon is capable of topping 60 mph, it has to come to a screeching halt before it can turn."
sword,Its fur is strong and supple. Shaving brushes made with shed Linoone hairs are highly prized.
shield,It uses its explosive speed and razor-sharp claws to bring down prey. Running along winding paths is not its strong suit.
