Game,Flavor Text
red,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones."
blue,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones."
yellow,"Its steel-like hide adds to its powerful tackle. Its horns are so hard, they can pierce a diamond."
gold,"It swings its big tail around during battle. If its foe flinches, it will charge with its sturdy body."
silver,"Its tail is thick and powerful. If it binds an enemy, it can snap the victim's spine quite easily."
crystal,"It uses its thick arms, legs and tail to attack forcefully. Melee combat is its specialty."
ruby,"NIDOKING’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this POKéMON goes on a rampage, there is no stopping it."
sapphire,"NIDOKING’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this POKéMON goes on a rampage, there is no stopping it."
emerald,"A NIDOKING’s thick tail packs enormously destructive power capable of toppling a metal transmission tower. Once it goes on a rampage, there is no stopping it."
firered,It is recognized by its rock-hard hide and its extended horn. Be careful with the horn as it contains venom.
leafgreen,"It uses its powerful tail in battle to smash, constrict, then break the prey’s bones."
diamond,One swing of its mighty tail can snap a telephone pole as if it were a matchstick.
pearl,One swing of its mighty tail can snap a telephone pole as if it were a matchstick.
platinum,One swing of its mighty tail can snap a telephone pole as if it were a matchstick.
heartgold,"It swings its big tail around during battle. If its foe flinches, it will charge with its sturdy body."
soulsilver,"Its tail is thick and powerful. If it binds an enemy, it can render the victim helpless quite easily."
black,One swing of its mighty tail can snap a telephone pole as if it were a matchstick.
white,One swing of its mighty tail can snap a telephone pole as if it were a matchstick.
black-2,One swing of its mighty tail can snap a telephone pole as if it were a matchstick.
white-2,One swing of its mighty tail can snap a telephone pole as if it were a matchstick.
x,"It is recognized by its rock-hard hide and its extended horn. Be careful with the horn, as it contains venom."
y,One swing of its mighty tail can snap a telephone pole as if it were a matchstick.
omega-ruby,"Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it."
alpha-sapphire,"Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it."
lets-go-pikachu,"Its steel-like hide adds to its powerful tackle. Its horns are so hard, they can pierce a diamond."
lets-go-eevee,"Its steel-like hide adds to its powerful tackle. Its horns are so hard, they can pierce a diamond."
sword,"When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down."
shield,"Nidoking prides itself on its strength. It’s forceful and spirited in battle, making use of its thick tail and diamond-crushing horn."
