Game,Flavor Text
red,"If interrupted while it is miming, it will slap around the offender with its broad hands."
blue,"If interrupted while it is miming, it will slap around the offender with its broad hands."
yellow,Always practices its pantomime act. It makes enemies believe something exists that really doesn't.
gold,"A skilled mime from birth, it gains the ability to create invisi­ ble objects as it matures."
silver,Its fingertips emit a peculiar force field that hardens air to create an actual wall.
crystal,It uses the mysterious power it has in its fingers to solidify air into an invisible wall.
ruby,"MR. MIME is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once it is believed, it will exist as if it were a real thing."
sapphire,"MR. MIME is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once it is believed, it will exist as if it were a real thing."
emerald,"A MR. MIME is a master of pantomime. It can convince others that something unseeable actually exists. Once believed, the imaginary object does become real."
firered,It is adept at conning people. It is said to be able to create walls out of thin air by miming.
leafgreen,"If interrupted while it is miming, it will suddenly DOUBLESLAP the offender with its broad hands."
diamond,It is a pantomime expert that can create invisible but solid walls using miming gestures.
pearl,Emanations from its fingertips solidify the air into invisible walls that repel even harsh attacks.
platinum,It shapes an invisible wall in midair by minutely vibrating its fingertips to stop molecules in the air.
heartgold,"A skilled mime from birth, it gains the ability to create invisible objects as it matures."
soulsilver,Its fingertips emit a peculiar force field that hardens air to create an actual wall.
black,It shapes an invisible wall in midair by minutely vibrating its fingertips to stop molecules in the air.
white,It shapes an invisible wall in midair by minutely vibrating its fingertips to stop molecules in the air.
black-2,It shapes an invisible wall in midair by minutely vibrating its fingertips to stop molecules in the air.
white-2,It shapes an invisible wall in midair by minutely vibrating its fingertips to stop molecules in the air.
x,Emanations from its fingertips solidify the air into invisible walls that repel even harsh attacks.
y,It is adept at conning people. It is said to be able to create walls out of thin air by miming.
omega-ruby,"Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real."
alpha-sapphire,"Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real."
ultra-sun,"Its pantomime skills are wonderful. You may become enraptured while watching it, but next thing you know, Mr. Mime has made a real wall."
ultra-moon,"It creates invisible walls with its pantomiming. If you don’t act impressed, it will attack you with a double slap!"
lets-go-pikachu,Always practicing its pantomime act. It makes enemies believe something exists that really doesn’t.
lets-go-eevee,Always practicing its pantomime act. It makes enemies believe something exists that really doesn’t.
sword,The broadness of its hands may be no coincidence—many scientists believe its palms became enlarged specifically for pantomiming.
shield,It’s known for its top-notch pantomime skills. It protects itself from all sorts of attacks by emitting auras from its fingers to create walls.
legends-arceus,The behavior of this clown-like Pokémon reminds one of pantomime. It creates invisible walls using a force emitted from its fingertips.
