Game,Flavor Text
soulsilver,"It is usually docile, but if it is disturbed while sipping honey, it chases off the intruder with its horn."
gold,This powerful POKéMON thrusts its prized horn under its enemies’ bellies then lifts and throws them.
silver,"Usually docile, but if disturbed while sipping honey, it chases off the intruder with its horn."
crystal,"With its Herculean powers, it can easily throw arou­ nd an object that is 100 times its own weight."
ruby,"HERACROSS charges in a straight line at its foe, slips beneath the foe’s grasp, and then scoops up and hurls the opponent with its mighty horn. This POKéMON even has enough power to topple a massive tree."
sapphire,"HERACROSS has sharp claws on its feet. These are planted firmly into the ground or the bark of a tree, giving the POKéMON a secure and solid footing to forcefully fling away foes with its proud horn."
emerald,"They gather in forests seeking the sweet sap of trees. It is completely clad in a steel-hard shell. It is proud of its horn, which it uses to fling foes."
firered,"Usually docile, but if disturbed while sipping honey, it chases off the intruder with its horn."
leafgreen,"This powerful POKéMON thrusts its prized horn under its enemies’ bellies, then lifts and throws them."
diamond,"It gathers in forests to search for tree sap, its favorite food. It’s strong enough to hurl foes."
pearl,"With powerful legs and claws, it generates enough power to hurl foes over great distances."
platinum,"It loves sweet honey. To keep all the honey to itself, it hurls rivals away with its prized horn."
heartgold,"This powerful Pokémon thrusts its prized horn under its enemies’ bellies, then lifts and throws them."
black,"It loves sweet honey. To keep all the honey to itself, it hurls rivals away with its prized horn."
white,"It loves sweet honey. To keep all the honey to itself, it hurls rivals away with its prized horn."
black-2,"No matter how heavy its opponents, it flings them far away with its prized horn."
white-2,"No matter how heavy its opponents, it flings them far away with its prized horn."
x,"This powerful Pokémon thrusts its prized horn under its enemies’ bellies, then lifts and throws them."
y,"With its Herculean powers, it can easily throw around an object that is 100 times its own weight."
omega-ruby,"Heracross charges in a straight line at its foe, slips beneath the foe’s grasp, and then scoops up and hurls the opponent with its mighty horn. This Pokémon even has enough power to topple a massive tree."
alpha-sapphire,"Heracross has sharp claws on its feet. These are planted firmly into the ground or the bark of a tree, giving the Pokémon a secure and solid footing to forcefully fling away foes with its proud horn."
ultra-sun,"It’s proud of its thick horn. In Alola, its biggest rival is Vikavolt, which it’s always fighting with."
ultra-moon,"It roams through forests searching for sweet nectar. Although it boasts fantastic physical strength, it’s not that good at flying."
sword,Heracross loves sweet sap and will go looking through forests for it. The Pokémon uses its two antennae to pick up scents as it searches.
shield,"This Pokémon takes pride in its strength, which allows it to lift things 100 times heavier than itself with no trouble at all."
legends-arceus,This Pokémon has an unparalleled horn. Heracross itself demonstrates tremendous power—it's capable of throwing several people trained in the traditional arts of war at once.
