Game,Flavor Text
gold,"It hates light and shock. If attack­ ed, it inflates its body to pump up its counter­ strike."
silver,"To keep its pitch- black tail hidden, it lives quietly in the darkness. It is never first to attack."
crystal,"In order to con­ ceal its black tail, it lives in a dark cave and only moves about at night."
ruby,"If two or more WOBBUFFET meet, they will turn competitive and try to outdo each other’s endurance. However, they may try to see which one can endure the longest without food. TRAINERS need to beware of this habit."
sapphire,"WOBBUFFET does nothing but endure attacks - it won’t attack on its own. However, it won’t endure an attack on its tail. When that happens, the POKéMON will try to take the foe with it using DESTINY BOND."
emerald,"Usually docile, a WOBBUFFET strikes back ferociously if its black tail is attacked. It makes its lair in caves where it waits for nightfall."
firered,"To keep its pitch-black tail hidden, it lives quietly in the darkness. It is never first to attack."
leafgreen,"It hates light and shock. If attacked, it inflates its body to pump up its counterstrike."
diamond,It desperately tries to keep its black tail hidden. It is said to be proof the tail hides a secret.
pearl,It desperately tries to keep its black tail hidden. It is said to be proof the tail hides a secret.
platinum,It desperately tries to keep its black tail hidden. It is said to be proof the tail hides a secret.
heartgold,"It hates light and shock. If attacked, it inflates its body to build up its counterstrike."
soulsilver,"To keep its pitch-black tail hidden, it lives quietly in the darkness. It is never first to attack."
black,It desperately tries to keep its black tail hidden. It is said to be proof the tail hides a secret.
white,It desperately tries to keep its black tail hidden. It is said to be proof the tail hides a secret.
black-2,It desperately tries to keep its black tail hidden. It is said to be proof the tail hides a secret.
white-2,It desperately tries to keep its black tail hidden. It is said to be proof the tail hides a secret.
x,"It hates light and shock. If attacked, it inflates its body to build up its counterstrike."
y,"To keep its pitch-black tail hidden, it lives quietly in the darkness. It is never first to attack."
omega-ruby,"If two or more Wobbuffet meet, they will turn competitive and try to outdo each other’s endurance. However, they may try to see which one can endure the longest without food. Trainers need to beware of this habit."
alpha-sapphire,"Wobbuffet does nothing but endure attacks—it won’t attack on its own. However, it won’t endure an attack on its tail. When that happens, the Pokémon will try to take the foe with it using Destiny Bond."
sword,"It hates light and shock. If attacked, it inflates its body to pump up its counterstrike."
shield,"To keep its pitch-black tail hidden, it lives quietly in the darkness. It is never first to attack."
