Game,Flavor Text
red,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
blue,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
yellow,"Its body is dry. When it gets cold at night, its hide is said to become coated with a fine dew."
gold,"If it fell from a great height, this POKéMON could save itself by rolling into a ball and bouncing."
silver,"Disliking water, it lives in deep burrows in arid areas. It can roll itself instantly into a ball."
crystal,"It prefers dry, sandy places because it uses the sand to protect itself when threatened."
ruby,"SANDSHREW’s body is configured to absorb water without waste, enabling it to survive in an arid desert. This POKéMON curls up to protect itself from its enemies."
sapphire,"SANDSHREW has a very dry hide that is extremely tough. The POKéMON can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep."
emerald,"When it curls up in a ball, it can make any attack bounce off harmlessly. Its hide has turned tough and solid as a result of living in the desert."
firered,"It burrows and lives underground. If threatened, it curls itself up into a ball for protection."
leafgreen,Burrows deep underground in arid locations far from water. It only emerges to hunt for prey.
diamond,"To protect itself from attackers, it curls up into a ball. It lives in arid regions with minimal rainfall."
pearl,"To protect itself from attackers, it curls up into a ball. It lives in arid regions with minimal rainfall."
platinum,"To protect itself from attackers, it curls up into a ball. It lives in arid regions with minimal rainfall."
heartgold,"If it fell from a great height, this Pokémon could save itself by rolling into a ball and bouncing."
soulsilver,"Disliking water, it lives in deep burrows in arid areas. It can roll itself instantly into a ball."
black,"To protect itself from attackers, it curls up into a ball. It lives in arid regions with minimal rainfall."
white,"To protect itself from attackers, it curls up into a ball. It lives in arid regions with minimal rainfall."
black-2,"It digs deep burrows to live in. When in danger, it rolls up its body to withstand attacks."
white-2,"It digs deep burrows to live in. When in danger, it rolls up its body to withstand attacks."
x,"It burrows and lives underground. If threatened, it curls itself up into a ball for protection."
y,"Disliking water, it lives in deep burrows in arid areas. It can roll itself instantly into a ball."
omega-ruby,"Sandshrew’s body is configured to absorb water without waste, enabling it to survive in an arid desert. This Pokémon curls up to protect itself from its enemies."
alpha-sapphire,"Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep."
sun,It can roll its body into a ball. It moves through the desert by rolling at high speeds.
moon,"It usually makes its home in deserts and arid zones, where rain does not fall. It digs holes to catch Bug-type Pokémon."
ultra-sun,"It lives in areas of limited rainfall. When danger approaches, it curls up into a ball to protect its soft stomach."
ultra-moon,"When its skin gets wrinkled from moisture, it heads for a volcano. It lies flat on a spot with a lot of geothermal heat and dries itself out."
lets-go-pikachu,"Its body is dry. When it gets cold at night, its hide is said to become coated with a fine dew."
lets-go-eevee,"Its body is dry. When it gets cold at night, its hide is said to become coated with a fine dew."
sword,"It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body."
shield,"It burrows into the ground to create its nest. If hard stones impede its tunneling, it uses its sharp claws to shatter them and then carries on digging."
