Game,Flavor Text
black,This Pokémon fought humans in order to protect its friends. Legends about it continue to be passed down.
white,"Its head sprouts horns as sharp as blades. Using whirlwind-like movements, it confounds and swiftly cuts opponents."
black-2,Legends say this Pokémon confounded opponents with its swift movements.
white-2,Legends say this Pokémon confounded opponents with its swift movements.
x,"Its head sprouts horns as sharp as blades. Using whirlwind-like movements, it confounds and swiftly cuts opponents."
y,Legends say this Pokémon confounded opponents with its swift movements.
omega-ruby,"Its head sprouts horns as sharp as blades. Using whirlwind-like movements, it confounds and swiftly cuts opponents."
alpha-sapphire,Legends say this Pokémon confounded opponents with its swift movements.
sword,A legend tells of this Pokémon working together with Cobalion and Terrakion to protect the Pokémon of the Unova region.
shield,"It darts around opponents with a flurry of quick movements, slicing them up with its horns."
