Game,Flavor Text
gold,It makes a nest to suit its long and skinny body. The nest is impossible for other POKéMON to enter.
silver,"There is no tell­ ing where the tail begins. Despite its short legs, it is quick at hunt­ ing RATTATA."
crystal,"It lives in narrow burrows that fit its slim body. The deeper the nests go, the more maze­ like they become."
ruby,"FURRET has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this POKéMON is very nimble and fleet."
sapphire,"FURRET has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this POKéMON is very nimble and fleet."
emerald,"A FURRET has a very slim build. When under attack, it can squirm through narrow spaces and get away. In spite of its short limbs, it is very nimble and fleet."
firered,"There is no telling where its tail begins. Despite its short legs, it is quick at hunting RATTATA."
leafgreen,It makes a nest to suit its long and skinny body. The nest is impossible for other POKéMON to enter.
diamond,The mother puts its offspring to sleep by curling up around them. It corners foes with speed.
pearl,The mother puts its offspring to sleep by curling up around them. It corners foes with speed.
platinum,The mother puts its offspring to sleep by curling up around them. It corners foes with speed.
heartgold,It makes a nest to suit its long and skinny body. The nest is impossible for other Pokémon to enter.
soulsilver,"There is no telling where the tail begins. Despite its short legs, it is quick and likes to chase RATTATA."
black,The mother puts its offspring to sleep by curling up around them. It corners foes with speed.
white,The mother puts its offspring to sleep by curling up around them. It corners foes with speed.
black-2,The mother puts its offspring to sleep by curling up around them. It corners foes with speed.
white-2,The mother puts its offspring to sleep by curling up around them. It corners foes with speed.
x,The mother puts its offspring to sleep by curling up around them. It corners foes with speed.
y,It makes a nest to suit its long and skinny body. The nest is impossible for other Pokémon to enter.
omega-ruby,"Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet."
alpha-sapphire,"Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet."
