Game,Flavor Text
black,It makes a nest out of bones it finds. It grabs weakened prey in its talons and hauls it to its nest of bones.
white,"Watching from the sky, they swoop to strike weakened Pokémon on the ground. They decorate themselves with bones."
black-2,"They fly in circles around the sky. When they spot prey, they attack and carry it back to their nest with ease."
white-2,"They fly in circles around the sky. When they spot prey, they attack and carry it back to their nest with ease."
x,"They fly in circles around the sky. When they spot prey, they attack and carry it back to their nest with ease."
y,"Watching from the sky, they swoop to strike weakened Pokémon on the ground. They decorate themselves with bones."
omega-ruby,"They fly in circles around the sky. When they spot prey, they attack and carry it back to their nest with ease."
alpha-sapphire,"Watching from the sky, they swoop to strike weakened Pokémon on the ground. They decorate themselves with bones."
sun,"They adorn themselves beautifully with bones. This is supposedly an effort to attract males, but no male Mandibuzz have ever been found."
moon,"It circles in the sky, keeping a keen eye out for Pokémon in a weakened state. Its choicest food is Cubone."
ultra-sun,It skillfully arranges the bones of its prey to construct its nest. Most of the bones are Cubone.
ultra-moon,"It’s always searching for food for Vullaby. When it finds a weak Pokémon, Mandibuzz swoops it right off to its nest."
sword,"Although it’s a bit of a ruffian, this Pokémon will take lost Vullaby under its wing and care for them till they’re ready to leave the nest."
shield,"They adorn themselves with bones. There seem to be fashion trends among them, as different bones come into and fall out of popularity."
