Game,Flavor Text
ruby,"ALTARIA dances and wheels through the sky among billowing, cotton-like clouds. By singing melodies in its crystal-clear voice, this POKéMON makes its listeners experience dreamy wonderment."
sapphire,ALTARIA sings in a gorgeous soprano. Its wings are like cotton clouds. This POKéMON catches updrafts with its buoyant wings and soars way up into the wild blue yonder.
emerald,It hums in a beautiful soprano voice. It flies among white clouds in the blue sky. It launches intensely hot fireballs from its mouth.
firered,"If you hear a beautiful melody trilling deep among mountains far from people, it is ALTARIA’s humming."
leafgreen,"If you hear a beautiful melody trilling deep among mountains far from people, it is ALTARIA’s humming."
diamond,It looks like a fluffy cloud when it is in flight. It hums with its soprano voice.
pearl,It looks like a fluffy cloud when it is in flight. It hums with its soprano voice.
platinum,"If it bonds with a person, it will gently envelop the friend with its soft wings, then hum."
heartgold,It flies gracefully through the sky. Its melodic humming makes you feel like you’re in a dream.
soulsilver,It flies gracefully through the sky. Its melodic humming makes you feel like you’re in a dream.
black,"If it bonds with a person, it will gently envelop the friend with its soft wings, then hum."
white,"If it bonds with a person, it will gently envelop the friend with its soft wings, then hum."
black-2,"On sunny days, it flies freely through the sky and blends into the clouds. It sings in a beautiful soprano."
white-2,"On sunny days, it flies freely through the sky and blends into the clouds. It sings in a beautiful soprano."
x,It flies gracefully through the sky. Its melodic humming makes you feel like you’re in a dream.
y,"On sunny days, it flies freely through the sky and blends into the clouds. It sings in a beautiful soprano."
omega-ruby,"Altaria dances and wheels through the sky among billowing, cotton-like clouds. By singing melodies in its crystal-clear voice, this Pokémon makes its listeners experience dreamy wonderment."
alpha-sapphire,Altaria sings in a gorgeous soprano. Its wings are like cotton clouds. This Pokémon catches updrafts with its buoyant wings and soars way up into the wild blue yonder.
sword,"As it flies in a calm and relaxed manner, Altaria performs a humming song that would enrapture any audience."
shield,"This Pokémon has a kind disposition, but if it’s provoked, it will threaten opponents with shrill cries before attacking them without mercy."
