Game,Flavor Text
black,"It generates a powerful, freezing energy inside itself, but its body became frozen when the energy leaked out."
white,It can produce ultracold air. Its body is frozen.
black-2,This legendary ice Pokémon waits for a hero to fill in the missing parts of its body with truth or ideals.
white-2,This legendary ice Pokémon waits for a hero to fill in the missing parts of its body with truth or ideals.
x,This legendary ice Pokémon waits for a hero to fill in the missing parts of its body with truth or ideals.
y,"It generates a powerful, freezing energy inside itself, but its body became frozen when the energy leaked out."
omega-ruby,This legendary ice Pokémon waits for a hero to fill in the missing parts of its body with truth or ideals.
alpha-sapphire,"It generates a powerful, freezing energy inside itself, but its body became frozen when the energy leaked out."
sword,"Dwelling within it is a power even greater than that of Reshiram or Zekrom, but the extreme cold keeps that power bound."
shield,It appears that this Pokémon uses its powers over ice to freeze its own body in order to stabilize its cellular structure.
