Game,Flavor Text
ruby,"GRUMPIG uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this POKéMON uses its special power, its snorting breath grows labored."
sapphire,"GRUMPIG uses the black pearls on its body to wield its fantastic powers. When it is doing so, it dances bizarrely. This POKéMON’s black pearls are valuable as works of art."
emerald,"It stores power in the black pearls on its forehead. When it uses psychic power, it performs an odd dance step. Its style of dancing became hugely popular overseas."
firered,It can gain control over foes by doing odd dance steps. The black pearls on its forehead are precious gems.
leafgreen,It can gain control over foes by doing odd dance steps. The black pearls on its forehead are precious gems.
diamond,It uses black pearls to amplify its psycho-power. It does an odd dance to gain control over foes.
pearl,It uses black pearls to amplify its psycho-power. It does an odd dance to gain control over foes.
platinum,It uses black pearls to amplify its psycho-power. It does an odd dance to gain control over foes.
heartgold,It can perform odd dance steps to influence foes. Its style of dancing became hugely popular overseas.
soulsilver,It can perform odd dance steps to influence foes. Its style of dancing became hugely popular overseas.
black,It uses black pearls to amplify its psycho-power. It does an odd dance to gain control over foes.
white,It uses black pearls to amplify its psycho-power. It does an odd dance to gain control over foes.
black-2,It uses black pearls to amplify its psychic power. It does a strange dance to control foes’ minds.
white-2,It uses black pearls to amplify its psychic power. It does a strange dance to control foes’ minds.
x,It uses black pearls to amplify its psychic power. It does a strange dance to control foes’ minds.
y,It uses black pearls to amplify its psychic power. It does an odd dance to gain control over foes.
omega-ruby,"Grumpig uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this Pokémon uses its special power, its snorting breath grows labored."
alpha-sapphire,"Grumpig uses the black pearls on its body to wield its fantastic powers. When it is doing so, it dances bizarrely. This Pokémon’s black pearls are valuable as works of art."
