Game,Flavor Text
red,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
blue,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
yellow,Shoots water at prey while in the water. Withdraws into its shell when in danger.
gold,"The shell is soft when it is born. It soon becomes so resilient, prod­ ding fingers will bounce off it."
silver,"The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out."
crystal,"When it feels threatened, it draws its legs inside its shell and sprays water from its mouth."
ruby,"SQUIRTLE’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this POKéMON to swim at high speeds."
sapphire,"SQUIRTLE’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this POKéMON to swim at high speeds."
emerald,"Its shell is not just for protection. Its rounded shape and the grooves on its surface minimize resistance in water, enabling SQUIRTLE to swim at high speeds."
firered,"When it retracts its long neck into its shell, it squirts out water with vigorous force."
leafgreen,"After birth, its back swells and hardens into a shell. It powerfully sprays foam  from its mouth."
diamond,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity."
pearl,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity."
platinum,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity."
heartgold,"The shell is soft when it is born. It soon becomes so resilient, prodding fingers will bounce off it."
soulsilver,"The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out."
black,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity."
white,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity."
black-2,It shelters itself in its shell then strikes back with spouts of water at every opportunity.
white-2,It shelters itself in its shell then strikes back with spouts of water at every opportunity.
x,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity."
y,Shoots water at prey while in the water. Withdraws into its shell when in danger.
omega-ruby,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds."
alpha-sapphire,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds."
lets-go-pikachu,Shoots water at prey while in the water. Withdraws into its shell when in danger.
lets-go-eevee,Shoots water at prey while in the water. Withdraws into its shell when in danger.
sword,"When it retracts its long neck into its shell, it squirts out water with vigorous force."
shield,"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth."
