Game,Flavor Text
emerald,It lives in water virtually all day long. Its body color and pattern act as camouflage that makes it tough for enemies to spot in water.
gold,"By keeping still and listening in­ tently, it can tell what is in even wild, fast- moving rivers."
silver,"When it plays in water, it rolls up its elongated ears to prevent their insides from get­ ting wet."
crystal,The bubble-like pattern on its stomach helps it camouflage itself when it's in the water.
ruby,"AZUMARILL’s long ears are indispensable sensors. By focusing its hearing, this POKéMON can identify what kinds of prey are around, even in rough and fast-running rivers."
sapphire,AZUMARILL can make balloons out of air. It makes these air balloons if it spots a drowning POKéMON. The air balloons enable the POKéMON in trouble to breathe.
firered,"When it plays in water, it rolls up its elongated ears to prevent their insides from getting wet."
leafgreen,"By keeping still and listening intently, it can even tell what is in wild, fast-moving rivers."
diamond,"It lives in rivers and lakes. In water, its coloring and patterns trick the vision of foes."
pearl,Its long ears are superb sensors. It can distinguish the movements of living things on riverbeds.
platinum,"It can spend all day in water, since it can inhale and store a large volume of air."
heartgold,"By keeping still and listening intently, it can tell what is in even wild, fast-moving rivers."
soulsilver,"When it plays in water, it rolls up its elongated ears to prevent their insides from getting wet."
black,"It can spend all day in water, since it can inhale and store a large volume of air."
white,"It can spend all day in water, since it can inhale and store a large volume of air."
black-2,Its long ears are superb sensors. It can distinguish the movements of things in water and tell what they are.
white-2,Its long ears are superb sensors. It can distinguish the movements of things in water and tell what they are.
x,Its long ears are superb sensors. It can distinguish the movements of living things on riverbeds.
y,The bubble-like pattern on its stomach helps it camouflage itself when it’s in the water.
omega-ruby,"Azumarill’s long ears are indispensable sensors. By focusing its hearing, this Pokémon can identify what kinds of prey are around, even in rough and fast-running rivers."
alpha-sapphire,Azumarill can make balloons out of air. It makes these air balloons if it spots a drowning Pokémon. The air balloons enable the Pokémon in trouble to breathe.
sword,"It spends most of its time in the water. On sunny days, Azumarill floats on the surface of the water and sunbathes."
shield,"These Pokémon create air-filled bubbles. When Azurill play in rivers, Azumarill will cover them with these bubbles."
