Game,Flavor Text
black,Males swing their head plumage to threaten opponents. The females’ flying abilities surpass those of the males.
white,Males have plumage on their heads. They will never let themselves feel close to anyone other than their Trainers.
black-2,"Males swing the plumage on their heads to threaten others, but females are better at flying."
white-2,"Males swing the plumage on their heads to threaten others, but females are better at flying."
x,Males swing their head plumage to threaten opponents. The females’ flying abilities surpass those of the males.
y,Males have plumage on their heads. They will never let themselves feel close to anyone other than their Trainers.
omega-ruby,Males swing their head plumage to threaten opponents. The females’ flying abilities surpass those of the males.
alpha-sapphire,Males have plumage on their heads. They will never let themselves feel close to anyone other than their Trainers.
sword,"Unfezant are exceptional fliers. The females are known for their stamina, while the males outclass them in terms of speed."
shield,This Pokémon is intelligent and intensely proud. People will sit up and take notice if you become the Trainer of one.
