Game,Flavor Text
ultra-moon,Chinchou blink their shining antennae at one another to claim their respective turf.
gold,It shoots positive and negative elec­ tricity between the tips of its two antennae and zaps its enemies.
silver,"On the dark ocean floor, its only means of communi­ cation is its constantly flash­ ing lights."
crystal,"Its antennae, whi­ ch evolved from a fin, have both po­ sitive and neg­ ative charges flo­ wing through them."
ruby,CHINCHOU lets loose positive and negative electrical charges from its two antennas to make its prey faint. This POKéMON flashes its electric lights to exchange signals with others.
sapphire,"CHINCHOU’s two antennas are filled with cells that generate strong electricity. This POKéMON’s cells create so much electrical power, it even makes itself tingle slightly."
emerald,"When it senses danger, it discharges positive and negative electricity from its two antennae. It lives in depths beyond sunlight’s reach."
firered,"On the dark ocean floor, its only means of communication is its constantly flashing lights."
leafgreen,It shoots positive and negative electricity between the tips of its two antennae and zaps its enemies.
diamond,It discharges positive and negative electricity from its antenna tips to shock its foes.
pearl,It discharges positive and negative electricity from its antenna tips to shock its foes.
platinum,It discharges positive and negative electricity from its antenna tips to shock its foes.
heartgold,It shoots positive and negative electricity between the tips of its two antennae and zaps its enemies.
soulsilver,"On the dark ocean floor, its only means of communication is its constantly flashing lights."
black,It discharges positive and negative electricity from its antenna tips to shock its foes.
white,It discharges positive and negative electricity from its antenna tips to shock its foes.
black-2,It discharges positive and negative electricity from its antenna tips to shock its foes.
white-2,It discharges positive and negative electricity from its antenna tips to shock its foes.
x,"On the dark ocean floor, its only means of communication is its constantly flashing lights."
y,It shoots positive and negative electricity between the tips of its two antennae and zaps its enemies.
omega-ruby,Chinchou lets loose positive and negative electrical charges from its two antennas to make its prey faint. This Pokémon flashes its electric lights to exchange signals with others.
alpha-sapphire,"Chinchou’s two antennas are filled with cells that generate strong electricity. This Pokémon’s cells create so much electrical power, it even makes itself tingle slightly."
sun,Its two antennae were originally fins. It discharges electricity to stun its prey before attacking.
moon,It lives in the depths beyond the reach of sunlight. It flashes lights on its antennae to communicate with others of its kind.
ultra-sun,"Its two antennae glow softly to lure in prey, making it a useful Pokémon for night fishing."
sword,"Its antennae, which evolved from a fin, have both positive and negative charges flowing through them."
shield,"On the dark ocean floor, its only means of communication is its constantly flashing lights."
