Game,Flavor Text
black,Even veteran Trainers face a challenge in getting its beautiful flower to bloom. This Pokémon is popular with celebrities.
white,The fragrance of the garland on its head has a relaxing effect. It withers if a Trainer does not take good care of it.
black-2,"The fragrance of the garland on its head has a relaxing effect, but taking care of it is very difficult."
white-2,"The fragrance of the garland on its head has a relaxing effect, but taking care of it is very difficult."
x,The fragrance of the garland on its head has a relaxing effect. It withers if a Trainer does not take good care of it.
y,Even veteran Trainers face a challenge in getting its beautiful flower to bloom. This Pokémon is popular with celebrities.
omega-ruby,The fragrance of the garland on its head has a relaxing effect. It withers if a Trainer does not take good care of it.
alpha-sapphire,Even veteran Trainers face a challenge in getting its beautiful flower to bloom. This Pokémon is popular with celebrities.
sun,"No matter how much time and money is spent raising it, its flowers are the most beautiful when they bloom in the wild."
moon,"As soon as it finds a male to be its partner, the beautiful flower on its head darkens, droops, and withers away."
ultra-sun,The fragrance of its flower differs slightly depending on the soil where it grew up. Sniffing the aroma calms your heart and mind.
ultra-moon,"It’s well liked by other Pokémon because of its beauty. The flower on its head needs constant care, or it will soon wither and rot."
sword,It’s believed that even first-rate gardeners have a hard time getting the flower on a Lilligant’s head to bloom.
shield,"Essential oils made from Lilligant flowers have a sublime scent, but they’re also staggeringly expensive."
legends-arceus,I suspect that its well-developed legs are the result of a life spent on mountains covered in deep snow. The scent it exudes from its flower crown heartens those in proximity.
