Game,Flavor Text
gold,"Once it catches the wind, it deft­ ly controls its cotton-puff spores to float, even around the world."
silver,Drifts on seasonal winds and spreads its cotton-like spores all over the world to make more offspring.
crystal,"Even in the fierc­ est wind, it can control its fluff to make its way to any place in the world it wants."
ruby,JUMPLUFF rides warm southern winds to cross the sea and fly to foreign lands. The POKéMON descends to the ground when it encounters cold air while it is floating.
sapphire,JUMPLUFF rides warm southern winds to cross the sea and fly to foreign lands. The POKéMON descends to the ground when it encounters cold air while it is floating.
emerald,JUMPLUFF ride warm southern winds to cross the sea and fly to foreign lands. This POKéMON lands when it encounters cold air while it is floating.
firered,It drifts on seasonal winds and spreads its cotton-like spores all over the world  to make more offspring.
leafgreen,"Once it catches the wind, it deftly controls its cotton-puff spores to float, even around the world."
diamond,"Blown by seasonal winds, it circles the globe, scattering cotton spores as it goes."
pearl,"Blown by seasonal winds, it circles the globe, scattering cotton spores as it goes."
platinum,"Blown by seasonal winds, it circles the globe, scattering cotton spores as it goes."
heartgold,"Once it catches the wind, it deftly controls its cotton-puff spores-- it can even float around the world."
soulsilver,Drifts on seasonal winds and spreads its cotton-like spores all over the world to make more offspring.
black,"Blown by seasonal winds, it circles the globe, scattering cotton spores as it goes."
white,"Blown by seasonal winds, it circles the globe, scattering cotton spores as it goes."
black-2,"Blown by seasonal winds, it circles the globe, scattering cotton spores as it goes."
white-2,"Blown by seasonal winds, it circles the globe, scattering cotton spores as it goes."
x,"Blown by seasonal winds, it circles the globe, scattering cotton spores as it goes."
y,"Even in the fiercest wind, it can control its fluff to make its way to any place in the world it wants."
omega-ruby,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.
alpha-sapphire,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.
