Game,Flavor Text
gold,It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group.
silver,"When the weather turns cold, lots of LEDYBA gather from everywhere to cluster and keep each other warm."
crystal,It is timid and clusters together with others. The fluid secreted by its feet indicates its location.
ruby,LEDYBA secretes an aromatic fluid from where its legs join its body. This fluid is used for communicating with others. This POKéMON conveys its feelings to others by altering the fluid’s scent.
sapphire,LEDYBA secretes an aromatic fluid from where its legs join its body. This fluid is used for communicating with others. This POKéMON conveys its feelings to others by altering the fluid’s scent.
emerald,LEDYBA communicate using a fluid that they secrete from where the legs join the body. They are said to convey feelings to others by altering the fluid’s scent.
firered,"When the weather turns cold, numerous LEDYBA gather from everywhere to cluster and keep each other warm."
leafgreen,It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group.
diamond,"It is so timid, it can’t move if it isn’t with a swarm of others. It conveys its feelings with scent."
pearl,"It is so timid, it can’t move if it isn’t with a swarm of others. It conveys its feelings with scent."
platinum,"It is so timid, it can’t move if it isn’t with a swarm of others. It conveys its feelings with scent."
heartgold,It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group.
soulsilver,"When the weather turns cold, lots of LEDYBA gather from everywhere to cluster and keep each other warm."
black,"It is so timid, it can’t move if it isn’t with a swarm of others. It conveys its feelings with scent."
white,"It is so timid, it can’t move if it isn’t with a swarm of others. It conveys its feelings with scent."
black-2,"It is so timid, it can’t move if it isn’t with a swarm of others. It conveys its feelings with scent."
white-2,"It is so timid, it can’t move if it isn’t with a swarm of others. It conveys its feelings with scent."
x,"When the weather turns cold, lots of Ledyba gather from everywhere to cluster and keep each other warm."
y,It is timid and clusters together with others. The fluid secreted by its feet indicates its location.
omega-ruby,Ledyba secretes an aromatic fluid from where its legs join its body. This fluid is used for communicating with others. This Pokémon conveys its feelings to others by altering the fluid’s scent.
alpha-sapphire,Ledyba secretes an aromatic fluid from where its legs join its body. This fluid is used for communicating with others. This Pokémon conveys its feelings to others by altering the fluid’s scent.
sun,They are timid and grow uneasy when not in a swarm with others of their kind. The pattern on their backs differs slightly from one to another.
moon,"They communicate with one another using bodily fluids that give off odors. When they’re angry, their odor smells sour."
ultra-sun,"This Pokémon is very sensitive to cold. In the warmth of Alola, it appears quite lively."
ultra-moon,These very cowardly Pokémon join together and use Reflect to protect their nest.
