Game,Flavor Text
red,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.
blue,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.
yellow,"Smells incredibly foul! However, around 1 out of 1,000 people enjoy sniffing its nose- bending stink."
gold,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.
silver,"It secretes a sticky, drool-like honey. Although sweet, it smells too repulsive to get very close."
crystal,"The smell from its drool-like syrup and the pollen on its petals is so bad, it may make opponents faint."
ruby,"GLOOM releases a foul fragrance from the pistil of its flower. When faced with danger, the stench worsens. If this POKéMON is feeling calm and secure, it does not release its usual stinky aroma."
sapphire,"From its mouth GLOOM drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then  drools even more of its honey."
emerald,"A horribly noxious honey drools from its mouth. One whiff of the honey can result in memory loss. Some fans are said to enjoy this overwhelming stink, however."
firered,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.
leafgreen,The fluid that oozes from its mouth isn’t drool. It is a nectar that is used to attract prey.
diamond,"The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away."
pearl,"The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away."
platinum,"The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away."
heartgold,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.
soulsilver,"It secretes a sticky, drool-like honey. Although sweet, it smells too repulsive to get very close."
black,"The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away."
white,"The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away."
black-2,"The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away."
white-2,"The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away."
x,"Smells incredibly foul! However, around one out of a thousand people enjoy sniffing its nose-bending stink."
y,"The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away."
omega-ruby,"Gloom releases a foul fragrance from the pistil of its flower. When faced with danger, the stench worsens. If this Pokémon is feeling calm and secure, it does not release its usual stinky aroma."
alpha-sapphire,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey."
lets-go-pikachu,"Smells incredibly foul! However, around one out of a thousand people enjoy sniffing its nose-bending stink."
lets-go-eevee,"Smells incredibly foul! However, around one out of a thousand people enjoy sniffing its nose-bending stink."
sword,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.
shield,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.
