Game,Flavor Text
black,It has been said that they swallow those who get too close and turn them into mummies. They like to eat gold nuggets.
white,They pretend to be elaborate coffins to teach lessons to grave robbers. Their bodies are covered in pure gold.
black-2,Grave robbers who mistake them for real coffins and get too close end up trapped inside their bodies.
white-2,Grave robbers who mistake them for real coffins and get too close end up trapped inside their bodies.
x,It has been said that they swallow those who get too close and turn them into mummies. They like to eat gold nuggets.
y,Grave robbers who mistake them for real coffins and get too close end up trapped inside their bodies.
omega-ruby,It has been said that they swallow those who get too close and turn them into mummies. They like to eat gold nuggets.
alpha-sapphire,Grave robbers who mistake them for real coffins and get too close end up trapped inside their bodies.
sword,This Pokémon has a body of sparkling gold. People say it no longer remembers that it was once human.
shield,There are many depictions of Cofagrigus decorating ancient tombs. They’re symbols of the wealth that kings of bygone eras had.
