Game,Flavor Text
diamond,Its knuckle claws secrete a toxin so vile that even a scratch could prove fatal.
pearl,The toxin made in its poison sacs is pumped to the knuckle claws through tubes down its arms.
platinum,"It has a poison sac at its throat. When it croaks, the stored poison is churned for greater potency."
heartgold,"Swaying and dodging the attacks of its foes, it weaves its flexible body in close, then lunges out with its poisonous claws."
soulsilver,"Swaying and dodging the attacks of its foes, it weaves its flexible body in close, then lunges out with its poisonous claws."
black,"It has a poison sac at its throat. When it croaks, the stored poison is churned for greater potency."
white,"It has a poison sac at its throat. When it croaks, the stored poison is churned for greater potency."
black-2,The croaking that Toxicroak produces before a battle is for churning the poison it has stored in its poison sac.
white-2,The croaking that Toxicroak produces before a battle is for churning the poison it has stored in its poison sac.
x,"It has a poison sac at its throat. When it croaks, the stored poison is churned for greater potency."
y,Its knuckle claws secrete a toxin so vile that even a scratch could prove fatal.
omega-ruby,"It has a poison sac at its throat. When it croaks, the stored poison is churned for greater potency."
alpha-sapphire,Its knuckle claws secrete a toxin so vile that even a scratch could prove fatal.
sword,It bounces toward opponents and gouges them with poisonous claws. No more than a scratch is needed to knock out its adversaries.
shield,It booms out a victory croak when its prey goes down in defeat. This Pokémon and Seismitoad are related species.
legends-arceus,"Its crimson claws contain a virulent toxin. This toxin can be made into a tonic by diluting it, mixing it with several types of wild grass, and boiling it down over two days."
