Game,Flavor Text
diamond,"As a protective technique, it can completely freeze its fur to make its hairs stand like needles."
pearl,"As a protective technique, it can completely freeze its fur to make its hairs stand like needles."
platinum,"By controlling its body heat, it can freeze the atmosphere around it to make a diamond-dust flurry."
heartgold,It causes small ice crystals to form by lowering the temperature of the surrounding atmosphere.
soulsilver,It causes small ice crystals to form by lowering the temperature of the surrounding atmosphere.
black,"By controlling its body heat, it can freeze the atmosphere around it to make a diamond-dust flurry."
white,"By controlling its body heat, it can freeze the atmosphere around it to make a diamond-dust flurry."
black-2,It lowers its body heat to freeze its fur. The hairs then become like needles it can fire.
white-2,It lowers its body heat to freeze its fur. The hairs then become like needles it can fire.
x,"By controlling its body heat, it can freeze the atmosphere around it to make a diamond-dust flurry."
y,It lowers its body heat to freeze its fur. The hairs then become like needles it can fire.
omega-ruby,"By controlling its body heat, it can freeze the atmosphere around it to make a diamond-dust flurry."
alpha-sapphire,It lowers its body heat to freeze its fur. The hairs then become like needles it can fire.
sun,"It can control its body temperature at will. This enables it to freeze the moisture in the atmosphere, creating flurries of diamond dust."
moon,"It freezes its fur into icicles, spiky and sharp, and tackles its prey."
ultra-sun,It protects itself by freezing its fur into sharp needles. It can drop its body temperature below –75 degrees Fahrenheit.
ultra-moon,"It can instantaneously freeze any moisture that’s around it, creating ice pellets to shoot at its prey."
sword,Any who become captivated by the beauty of the snowfall that Glaceon creates will be frozen before they know it.
shield,"The coldness emanating from Glaceon causes powdery snow to form, making it quite a popular Pokémon at ski resorts."
legends-arceus,"Glaceon is able to lower its body temperature very quickly. It freezes the atmosphere, creating diamond dust that glitters like gems while it flutters and dances around."
