Game,Flavor Text
diamond,"Made from soil, the shell on its back hardens when it drinks water. It lives along lakes."
pearl,"It undertakes photosynthesis with its body, making oxygen. The leaf on its head wilts if it is thirsty."
platinum,"The shell on its back is made of soil. On a very healthy TURTWIG, the shell should feel moist."
heartgold,Photosynthesis occurs across its body under the sun. The shell on its back is actually hardened soil.
soulsilver,Photosynthesis occurs across its body under the sun. The shell on its back is actually hardened soil.
black,"The shell on its back is made of soil. On a very healthy Turtwig, the shell should feel moist."
white,"The shell on its back is made of soil. On a very healthy Turtwig, the shell should feel moist."
black-2,"The shell on its back is made of soil. On a very healthy Turtwig, the shell should feel moist."
white-2,"The shell on its back is made of soil. On a very healthy Turtwig, the shell should feel moist."
x,Photosynthesis occurs across its body under the sun. The shell on its back is actually hardened soil.
y,"It undertakes photosynthesis with its body, making oxygen. The leaf on its head wilts if it is thirsty."
omega-ruby,Photosynthesis occurs across its body under the sun. The shell on its back is actually hardened soil.
alpha-sapphire,"It undertakes photosynthesis with its body, making oxygen. The leaf on its head wilts if it is thirsty."
legends-arceus,This Pokémon becomes more energetic the more sunlight there is. The part resembling a shell is similar to silt and is slightly damp and warm to the touch.
