Game,Flavor Text
red,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000."
blue,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000."
yellow,A POKéMON that can memorize anything. It never forgets what it learns-- that's why this POKéMON is smart.
gold,Closing both its eyes heightens all its other senses. This enables it to use its abilities to their extremes.
silver,"Its brain cells multiply continu­ ally until it dies. As a result, it remembers everything."
crystal,It has an IQ of 5000. It calcu­ lates many things in order to gain the edge in every battle.
ruby,"ALAKAZAM’s brain continually grows, making its head far too heavy to support with its neck. This POKéMON holds its head up using its psychokinetic power instead."
sapphire,"ALAKAZAM’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this POKéMON an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world."
emerald,"While it has strong psychic abilities and high intelligence, an ALAKAZAM’s muscles are very weak. It uses psychic power to move its body."
firered,"It does not like physical attacks very  much. Instead, it freely uses extra­ sensory powers to defeat foes."
leafgreen,"Its brain can outperform a supercomputer. Its IQ (intelligence quotient) is said to be around 5,000."
diamond,"Its superb memory lets it recall everything it has experienced from birth. Its IQ exceeds 5,000."
pearl,Its highly developed brain is on par with a supercomputer. It can use all forms of psychic abilities.
platinum,The spoons clutched in its hands are said to have been created by its psychic powers.
heartgold,Closing both its eyes heightens all its other senses. This enables it to use its abilities to their extremes.
soulsilver,"Its brain cells multiply continually until it dies. As a result, it remembers everything."
black,The spoons clutched in its hands are said to have been created by its psychic powers.
white,The spoons clutched in its hands are said to have been created by its psychic powers.
black-2,The spoons clutched in its hands are said to have been created by its psychic powers.
white-2,The spoons clutched in its hands are said to have been created by its psychic powers.
x,"Its brain cells multiply continually until it dies. As a result, it remembers everything."
y,"Its brain can outperform a supercomputer. Its IQ (intelligence quotient) is said to be around 5,000."
omega-ruby,"Alakazam’s brain continually grows, making its head far too heavy to support with its neck. This Pokémon holds its head up using its psychokinetic power instead."
alpha-sapphire,"Alakazam’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world."
sun,"It is said to have an IQ of approximately 5,000. Its overflowing psychokinetic powers cause headaches to anyone nearby."
moon,"Its brain cells continue to increase in number until its death. The older the Alakazam, the larger its head."
ultra-sun,Alakazam uses its psychic powers to make the spoons it carries. Each spoon is an original that there’s only one of in the whole world.
ultra-moon,"If it trusts someone deeply, it will let them have one of its spoons. Anything you eat with that spoon is apparently delicious."
lets-go-pikachu,A Pokémon that can memorize anything. It never forgets what it learns—that’s why this Pokémon is smart.
lets-go-eevee,A Pokémon that can memorize anything. It never forgets what it learns—that’s why this Pokémon is smart.
sword,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death."
shield,Alakazam wields potent psychic powers. It’s said that this Pokémon used these powers to create the spoons it holds.
legends-arceus,"The longer Alakazam lives, the larger and heavier its head becomes. Our tests have shown that the strength of its psychic powers correlates positively to the weight of its head."
