Game,Flavor Text
diamond,Its powerful head butt has enough power to shatter even the most durable things upon impact.
pearl,Its skull is as hard as iron. It is a brute that tears down jungle trees while catching prey.
platinum,"If two were to smash their heads together, their foot-thick skulls would keep them from fainting."
heartgold,"Its skull withstands impacts of any magnitude. As a result, its brain never gets the chance to grow."
soulsilver,"Its skull withstands impacts of any magnitude. As a result, its brain never gets the chance to grow."
black,"If two were to smash their heads together, their foot-thick skulls would keep them from fainting."
white,"If two were to smash their heads together, their foot-thick skulls would keep them from fainting."
black-2,"If two were to smash their heads together, their foot-thick skulls would keep them from fainting."
white-2,"If two were to smash their heads together, their foot-thick skulls would keep them from fainting."
x,"Its skull withstands impacts of any magnitude. As a result, its brain never gets the chance to grow."
y,Its skull is as hard as iron. It is a brute that tears down jungle trees while catching prey.
omega-ruby,"Its skull withstands impacts of any magnitude. As a result, its brain never gets the chance to grow."
alpha-sapphire,Its skull is as hard as iron. It is a brute that tears down jungle trees while catching prey.
sun,"The result of repeated headbutts is a skull grown thick and hard. However, its brain has shrunk in size compared with Cranidos’s."
moon,Records exist of a revived fossil that evolved into Rampardos. It proceeded to escape and then destroy a skyscraper with a headbutt.
ultra-sun,"In ancient times, people would dig up fossils of this Pokémon and use its skull, which is harder than steel, to make helmets."
ultra-moon,"This ancient Pokémon used headbutts skillfully. Its brain was really small, so some theories suggest that its stupidity led to its extinction."
legends-arceus,"Very little is known about its biology. Can knock down massive trees by smashing its beautiful, pearl-like crown against them."
