Game,Flavor Text
black,"Protected by a hard shell, it spins its body like a wheel and crashes furiously into its enemies."
white,"It is usually motionless, but when attacked, it rotates at high speed and then crashes into its opponent."
black-2,"Storing energy for evolution, it sits. But, when predators approach, it moves to stab them with poison spikes."
white-2,"Storing energy for evolution, it sits. But, when predators approach, it moves to stab them with poison spikes."
x,"Protected by a hard shell, it spins its body like a wheel and crashes furiously into its enemies."
y,"It is usually motionless, but when attacked, it rotates at high speed and then crashes into its opponent."
omega-ruby,"Protected by a hard shell, it spins its body like a wheel and crashes furiously into its enemies."
alpha-sapphire,"It is usually motionless, but when attacked, it rotates at high speed and then crashes into its opponent."
sword,This Pokémon spins itself rapidly and charges into its opponents. Its top speed is just over 60 mph.
shield,Whirlipede protects itself with a sturdy shell and poisonous spikes while it stores up the energy it’ll need for evolution.
