Game,Flavor Text
gold,"Its shell is as hard as sheet rock, and it is also very strong. Its THRASHING can topple a mountain."
silver,"Even sealed in its shell, it can move freely. Hard and fast, it has out­ standing destruc­ tive power."
crystal,"It will not stay still, even while it's a pupa. It already has arms and legs under its solid shell."
ruby,PUPITAR creates a gas inside its body that it compresses and forcefully ejects to propel itself like a jet. The body is very durable - it avoids damage even if it hits solid steel.
sapphire,PUPITAR creates a gas inside its body that it compresses and forcefully ejects to propel itself like a jet. The body is very durable - it avoids damage even if it hits solid steel.
emerald,A PUPITAR creates a gas inside its body that it ejects under compression to propel itself like a jet. Its body can withstand a collision with solid steel.
firered,"Even sealed in its shell, it can move freely. Hard and fast, it has outstanding destructive power."
leafgreen,"Its shell is as hard as sheet rock, and it is also very strong. Its THRASHING can topple a mountain."
diamond,"Its body is as hard as bedrock. By venting pressurized gas, it can launch itself like a rocket."
pearl,"Its body is as hard as bedrock. By venting pressurized gas, it can launch itself like a rocket."
platinum,"Its body is as hard as bedrock. By venting pressurized gas, it can launch itself like a rocket."
heartgold,"Its shell is as hard as sheet rock, and it is also very strong. Its thrashing can topple a mountain."
soulsilver,"Even sealed in its shell, it can move freely. Hard and fast, it has outstanding destructive power."
black,"Its body is as hard as bedrock. By venting pressurized gas, it can launch itself like a rocket."
white,"Its body is as hard as bedrock. By venting pressurized gas, it can launch itself like a rocket."
black-2,This pupa flies around wildly by venting with great force the gas pressurized inside its body.
white-2,This pupa flies around wildly by venting with great force the gas pressurized inside its body.
x,"Its body is as hard as bedrock. By venting pressurized gas, it can launch itself like a rocket."
y,"Its shell is as hard as sheet rock, and it is also very strong. Its thrashing can topple a mountain."
omega-ruby,Pupitar creates a gas inside its body that it compresses and forcefully ejects to propel itself like a jet. The body is very durable—it avoids damage even if it hits solid steel.
alpha-sapphire,Pupitar creates a gas inside its body that it compresses and forcefully ejects to propel itself like a jet. The body is very durable—it avoids damage even if it hits solid steel.
ultra-sun,"This troublesome Pokémon can’t wait to evolve, so it relieves its stress by wildly propelling itself around using compressed gas."
ultra-moon,"This dangerous pupa thrashes about. Its shell is as hard as bedrock, containing its gradually forming new body within."
sword,"Even sealed in its shell, it can move freely. Hard and fast, it has outstanding destructive power."
shield,"It will not stay still, even while it’s a pupa. It already has arms and legs under its solid shell."
