Game,Flavor Text
diamond,"It habitually mimics foes. Once mimicked, the foe cannot take its eyes off this Pokémon."
pearl,"It likes places where people gather. It mimics foes to confuse them, then makes its getaway."
platinum,It mimics the expressions and motions of those it sees to understand the feelings of others.
heartgold,"In an attempt to confuse its enemy, it mimics the enemy’s movements. Then it wastes no time in making itself scarce!"
soulsilver,"In an attempt to confuse its enemy, it mimics the enemy’s movements. Then it wastes no time in making itself scarce!"
black,It mimics the expressions and motions of those it sees to understand the feelings of others.
white,It mimics the expressions and motions of those it sees to understand the feelings of others.
black-2,It mimics the expressions and motions of those it sees to understand the feelings of others.
white-2,It mimics the expressions and motions of those it sees to understand the feelings of others.
x,"In an attempt to confuse its enemy, it mimics the enemy’s movements. Then it wastes no time in making itself scarce!"
y,"It habitually mimics foes. Once mimicked, the foe cannot take its eyes off this Pokémon."
omega-ruby,"In an attempt to confuse its enemy, it mimics the enemy’s movements. Then it wastes no time in making itself scarce!"
alpha-sapphire,"It habitually mimics foes. Once mimicked, the foe cannot take its eyes off this Pokémon."
ultra-sun,"It does its absolute best to mimic the movements and expressions of its opponents, but it’s still not very good at it."
ultra-moon,"When this gifted mimic surprises an opponent, Mime Jr. feels so happy that it ends up forgetting it was imitating something."
sword,"It mimics everyone it sees, but it puts extra effort into copying the graceful dance steps of Mr. Rime as practice."
shield,It looks for a Mr. Rime that’s a good dancer and carefully copies the Mr. Rime’s steps like an apprentice.
legends-arceus,"Known to turn up in bustling marketplaces now and again. It mimics people much as a child would, then watches how they react, eyes sparkling."
