Game,Flavor Text
diamond,Its cries sound like incantations. Those hearing it are tormented by headaches and hallucinations.
pearl,"It chants incantations. While they usually torment targets, some chants bring happiness."
platinum,Its cry sounds like an incantation. It is said the cry may rarely be imbued with happiness-giving power.
heartgold,Its cries sound like incantations to torment the foe. It appears where you least expect it.
soulsilver,Its cries sound like incantations to torment the foe. It appears where you least expect it.
black,Its cry sounds like an incantation. It is said the cry may rarely be imbued with happiness-giving power.
white,Its cry sounds like an incantation. It is said the cry may rarely be imbued with happiness-giving power.
black-2,Its cry sounds like an incantation. It is said the cry may rarely be imbued with happiness-giving power.
white-2,Its cry sounds like an incantation. It is said the cry may rarely be imbued with happiness-giving power.
x,"It chants incantations. While they usually torment targets, some chants bring happiness."
y,Its cries sound like incantations to torment the foe. It appears where you least expect it.
omega-ruby,"It chants incantations. While they usually torment targets, some chants bring happiness."
alpha-sapphire,Its cries sound like incantations to torment the foe. It appears where you least expect it.
sun,"It appears as if from nowhere—muttering incantations, placing curses, and giving people terrifying visions."
moon,"Mismagius have been known to cast spells to make people fall in love, so some people search for this Pokémon as if their life depended on it."
ultra-sun,"Feared for its wrath and the curses it spreads, this Pokémon will also, on a whim, cast spells that help people."
ultra-moon,Its muttered curses can cause awful headaches or terrifying visions that torment others.
legends-arceus,"The incantations Mismagius chants can ward against misfortune, so a custom exists of inviting it into one's home. Incur the Pokémon's displeasure, however, and disaster will surely ensue."
