Game,Flavor Text
black,Compressing the energy from its internal core lets it fire off an attack capable of blowing away a mountain.
white,The solar energy absorbed by its body’s orange crystals is magnified internally and fired from its mouth.
black-2,The solar rays it absorbs are processed in its energy core and fired as a ball of light.
white-2,The solar rays it absorbs are processed in its energy core and fired as a ball of light.
x,The solar rays it absorbs are processed in its energy core and fired as a ball of light.
y,Compressing the energy from its internal core lets it fire off an attack capable of blowing away a mountain.
omega-ruby,The solar rays it absorbs are processed in its energy core and fired as a ball of light.
alpha-sapphire,Compressing the energy from its internal core lets it fire off an attack capable of blowing away a mountain.
sun,"The blasts of energy it makes from sunbeams have terrifying power. However, it’s not able to fire its blasts at night or on rainy days."
moon,"Known for its hefty horsepower, this Pokémon is a popular partner for construction workers."
ultra-sun,"When it fires off energy with all its might, the power creates countless fissures on its body."
ultra-moon,It absorbs rays of sunlight and shoots out energy. It’s usually lurking deep beneath the surface.
sword,"This hardy Pokémon can often be found on construction sites and in mines, working alongside people and Copperajah."
shield,"Although its energy blasts can blow away a dump truck, they have a limitation— they can only be fired when the sun is out."
