Game,Flavor Text
x,These Pokémon are created when spirits possess rotten tree stumps. They prefer to live in abandoned forests.
y,"According to old tales, these Pokémon are stumps possessed by the spirits of children who died while lost in the forest."
omega-ruby,These Pokémon are created when spirits possess rotten tree stumps. They prefer to live in abandoned forests.
alpha-sapphire,"According to old tales, these Pokémon are stumps possessed by the spirits of children who died while lost in the forest."
sun,These Pokémon are stumps possessed by the spirits of children who died in the forest. Their cries sound like eerie screams.
moon,"According to legend, medicine to cure any illness can be made by plucking the green leaves on its head, brewing them, and boiling down the liquid."
ultra-sun,"By imitating the voice of a child, it causes people to get hopelessly lost deep in the forest. It’s trying to make friends with them."
ultra-moon,"An unknown spirit came to lodge in a tree stump, creating this Pokémon. A cure-all can be made from an infusion of its green leaves."
sword,"After a lost child perished in the forest, their spirit possessed a tree stump, causing the spirit’s rebirth as this Pokémon."
shield,"With a voice like a human child’s, it cries out to lure adults deep into the forest, getting them lost among the trees."
