Game,Flavor Text
red,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers."
blue,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers."
yellow,"Always tormented by headaches. It uses psychic powers, but it is not known if it intends to do so."
gold,It has mystical powers but doesn't recall that it has used them. That is why it always looks puzzled.
silver,"If its chronic headache peaks, it may exhibit odd powers. It seems unable to recall such an episode."
crystal,The only time it can use its psy­ chic power is when its sleeping brain cells happen to wake.
ruby,"PSYDUCK uses a mysterious power. When it does so, this POKéMON  generates brain waves that are supposedly only seen in sleepers. This discovery spurred controversy among scholars."
sapphire,"If it uses its mysterious power, PSYDUCK can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep."
emerald,"When its headache intensifies, it starts using strange powers. However, it has no recollection of its powers, so it always looks befuddled and bewildered."
firered,"It is constantly wracked by a headache. When the headache turns intense, it begins using mysterious powers."
leafgreen,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers."
diamond,"If its usual headache worsens, it starts exhibiting odd powers. It can’t remember doing so, however."
pearl,"It never remembers using its odd powers, so it always tilts its head in puzzlement."
platinum,"Overwhelmed by enigmatic abilities, it suffers a constant headache. It sometimes uses mysterious powers."
heartgold,It has mystical powers but doesn’t recall that it has used them. That is why it always looks puzzled.
soulsilver,"If its chronic headache peaks, it may exhibit odd powers. It seems unable to recall such an episode."
black,"Overwhelmed by enigmatic abilities, it suffers a constant headache. It sometimes uses mysterious powers."
white,"Overwhelmed by enigmatic abilities, it suffers a constant headache. It sometimes uses mysterious powers."
black-2,"When headaches stimulate its brain cells, which are usually inactive, it can use a mysterious power."
white-2,"When headaches stimulate its brain cells, which are usually inactive, it can use a mysterious power."
x,"It is constantly wracked by a headache. When the headache turns intense, it begins using mysterious powers."
y,It has mystical powers but doesn’t recall that it has used them. That is why it always looks puzzled.
omega-ruby,"Psyduck uses a mysterious power. When it does so, this Pokémon generates brain waves that are supposedly only seen in sleepers. This discovery spurred controversy among scholars."
alpha-sapphire,"If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep."
sun,"As a result of headaches so fierce they cause it to cry, it sometimes uses psychokinesis without meaning to."
moon,"This Pokémon is troubled by constant headaches. The more pain it’s in, the more powerful its psychokinesis becomes."
ultra-sun,"Using psychokinesis gives it a headache, so it normally passes the time spacing out and doing as little as possible."
ultra-moon,It has been found that its brain cells are 10 times more active when Psyduck is experiencing a headache.
lets-go-pikachu,"Always tormented by headaches. It uses psychic powers, but whether it intends to do so is not known."
lets-go-eevee,"Always tormented by headaches. It uses psychic powers, but whether it intends to do so is not known."
sword,"Psyduck is constantly beset by headaches. If the Pokémon lets its strange power erupt, apparently the pain subsides for a while."
shield,"As Psyduck gets stressed out, its headache gets progressively worse. It uses intense psychic energy to overwhelm those around it."
legends-arceus,"Suffers perpetual headaches. If the agony grows too great, Psyduck's latent power erupts, contrary to Psyduck's intent. Ergo, I am exploring ways to ease the pain."
