Game,Flavor Text
diamond,A Pokémon that lives by water. It moves quickly on land by bouncing on its big tail.
ruby,"AZURILL spins its tail as if it were a lasso, then hurls it far. The momentum of the throw sends its body flying, too. Using this unique action, one of these POKéMON managed to hurl itself a record 33 feet."
sapphire,"AZURILL’s tail is large and bouncy. It is packed full of the nutrients this POKéMON needs to grow. AZURILL can be seen bouncing and playing on its big, rubbery tail."
emerald,"Its tail, which is packed with nutrition, is very bouncy like a rubber ball. On sunny days they gather at the edge of water and splash about for fun."
firered,"It battles by flinging around its tail, which is bigger than its body. The tail is a flotation device in water."
leafgreen,"It battles by flinging around its tail, which is bigger than its body. The tail is a flotation device in water."
pearl,Its tail is filled with nutrients necessary for growth. It plays by bouncing on its tail.
platinum,Its tail bounces like a rubber ball. It flings that tail around to fight opponents bigger than itself.
heartgold,Its tail is packed full of the nutrients it needs to grow.
soulsilver,Its tail is packed full of the nutrients it needs to grow.
black,Its tail bounces like a rubber ball. It flings that tail around to fight opponents bigger than itself.
white,Its tail bounces like a rubber ball. It flings that tail around to fight opponents bigger than itself.
black-2,"It swings its large, nutrient-filled tail around to fight opponents bigger than itself."
white-2,"It swings its large, nutrient-filled tail around to fight opponents bigger than itself."
x,A Pokémon that lives by water. It moves quickly on land by bouncing on its big tail.
y,"It swings its large, nutrient-filled tail around to fight opponents bigger than itself."
omega-ruby,"Azurill spins its tail as if it were a lasso, then hurls it far. The momentum of the throw sends its body flying, too. Using this unique action, one of these Pokémon managed to hurl itself a record 33 feet."
alpha-sapphire,"Azurill’s tail is large and bouncy. It is packed full of the nutrients this Pokémon needs to grow. Azurill can be seen bouncing and playing on its big, rubbery tail."
sword,"The ball on Azurill’s tail bounces like a rubber ball, and it’s full of the nutrients the Pokémon needs to grow."
shield,"Although Azurill are normally docile, an angry one will swing around the big ball on its tail and try to smash its opponents."
