Game,Flavor Text
diamond,"It can learn and speak human words. If they gather, they all learn the same saying."
pearl,It keeps rhythm by flicking its tail feathers like a metronome. It imitates human speech.
platinum,"Its tongue is just like a human’s. As a result, it can cleverly mimic human speech."
heartgold,It mimics the cries of other Pokémon to trick them into thinking it’s one of them. This way they won’t attack it.
soulsilver,It mimics the cries of other Pokémon to trick them into thinking it’s one of them. This way they won’t attack it.
black,"Its tongue is just like a human’s. As a result, it can cleverly mimic human speech."
white,"Its tongue is just like a human’s. As a result, it can cleverly mimic human speech."
black-2,"Its tongue is just like a human’s. As a result, it can cleverly mimic human speech."
white-2,"Its tongue is just like a human’s. As a result, it can cleverly mimic human speech."
x,It mimics the cries of other Pokémon to trick them into thinking it’s one of them. This way they won’t attack it.
y,"It can learn and speak human words. If they gather, they all learn the same saying."
omega-ruby,It mimics the cries of other Pokémon to trick them into thinking it’s one of them. This way they won’t attack it.
alpha-sapphire,"It can learn and speak human words. If they gather, they all learn the same saying."
legends-arceus,"A versatile performer skilled in the imitation of human speech. It is said that older, more experienced Chatot can even understand the meaning of the words they mimic."
