Game,Flavor Text
black,"At dusk, swarms of them are carried aloft on winds. When noticed, they suddenly vanish."
diamond,"It’s drowzy in daytime, but flies off in the evening in big groups. No one knows where they go."
pearl,"It carries people and Pokémon when it flies. But since it only drifts, it can end up anywhere."
platinum,"At dusk, swarms of them are carried aloft on winds. When noticed, they suddenly vanish."
heartgold,It can generate and release gas within its body. That’s how it can control the altitude of its drift.
soulsilver,It can generate and release gas within its body. That’s how it can control the altitude of its drift.
white,"At dusk, swarms of them are carried aloft on winds. When noticed, they suddenly vanish."
black-2,"They carry people and Pokémon, but the wind can catch them, so there can’t be a fixed destination."
white-2,"They carry people and Pokémon, but the wind can catch them, so there can’t be a fixed destination."
x,"It carries people and Pokémon when it flies. But since it only drifts, it can end up anywhere."
y,"It’s drowsy in daytime, but flies off in the evening in big groups. No one knows where they go."
omega-ruby,"It carries people and Pokémon when it flies. But since it only drifts, it can end up anywhere."
alpha-sapphire,"It’s drowsy in daytime, but flies off in the evening in big groups. No one knows where they go."
sun,"There was once an incident in which a man took a trip riding a Drifblim, only to go missing."
moon,"Even while under careful observation, large flocks of Drifblim flying at dusk will inexplicably disappear from view."
ultra-sun,"There’s a rumor that if you catch a Drifblim floating on the wind at dusk, you’ll be carried away to the afterlife."
ultra-moon,"The raw material for the gas inside its body is souls. When its body starts to deflate, it’s thought to carry away people and Pokémon."
sword,"Some say this Pokémon is a collection of souls burdened with regrets, silently drifting through the dusk."
shield,It grabs people and Pokémon and carries them off somewhere. Where do they go? Nobody knows.
legends-arceus,"It drifts along at dusk, perfectly silent. Its transient, melancholy aspect touches some people deeply—every so often, one will come upon a song or poem devoted to Drifblim."
