Game,Flavor Text
ruby,Memories of battling its arch-rival SEVIPER are etched into every cell of ZANGOOSE’s body. This POKéMON adroitly dodges attacks with incredible agility.
sapphire,"ZANGOOSE usually stays on all fours, but when angered, it gets up on its hind legs and extends its claws. This POKéMON shares a bitter rivalry with SEVIPER that dates back over generations."
emerald,"When it battles, it stands on its hind legs and attacks with its sharply clawed forelegs. Its fur bristles if it encounters any SEVIPER."
firered,"If it comes across a SEVIPER, its fur bristles and it assumes its battle pose. Its sharp claws are its best weapon."
leafgreen,"If it comes across a SEVIPER, its fur bristles and it assumes its battle pose. Its sharp claws are its best weapon."
diamond,It has feuded with SEVIPER for many generations. Its sharp claws are its biggest weapons.
pearl,It has feuded with SEVIPER for many generations. Its sharp claws are its biggest weapons.
platinum,It has feuded with SEVIPER for many generations. Its sharp claws are its biggest weapons.
heartgold,Its fur would all stand on end if it smelled a SEVIPER nearby. Its sharp claws tear up its foes.
soulsilver,Its fur would all stand on end if it smelled a SEVIPER nearby. Its sharp claws tear up its foes.
black,It has feuded with Seviper for many generations. Its sharp claws are its biggest weapons.
white,It has feuded with Seviper for many generations. Its sharp claws are its biggest weapons.
black-2,"It’s Seviper’s archrival. To threaten those it encounters, it fans out the claws on its front paws."
white-2,"It’s Seviper’s archrival. To threaten those it encounters, it fans out the claws on its front paws."
x,It has feuded with Seviper for many generations. Its sharp claws are its biggest weapons.
y,Its fur would all stand on end if it smelled a Seviper nearby. Its sharp claws tear up its foes.
omega-ruby,Memories of battling its archrival Seviper are etched into every cell of Zangoose’s body. This Pokémon adroitly dodges attacks with incredible agility.
alpha-sapphire,"Zangoose usually stays on all fours, but when angered, it gets up on its hind legs and extends its claws. This Pokémon shares a bitter rivalry with Seviper that dates back over generations."
