Game,Flavor Text
white-2,"Solar energy is the source of its power, so it is strong during the daytime. When it spins, its body shines."
ruby,"SOLROCK is a new species of POKéMON that is said to have fallen from space. It floats in air and moves silently. In battle, this POKéMON releases intensely bright light."
sapphire,Sunlight is the source of SOLROCK’s power. It is said to possess the ability to read the emotions of others. This POKéMON gives off intense heat while rotating its body.
emerald,"Solar energy is the source of this  POKéMON’s power. On sunny days, groups of SOLROCK line up facing the sun and absorb its light."
firered,"It absorbs solar energy during the day. Always expressionless, it can sense what its foe is thinking."
leafgreen,"It absorbs solar energy during the day. Always expressionless, it can sense what its foe is thinking."
diamond,"A new Pokémon species, rumored to be from the sun. It gives off light while spinning."
pearl,"A new Pokémon species, rumored to be from the sun. It gives off light while spinning."
platinum,"A new Pokémon species, rumored to be from the sun. It gives off light while spinning."
heartgold,"When it rotates itself, it gives off light similar to the sun, thus blinding its foes."
soulsilver,"When it rotates itself, it gives off light similar to the sun, thus blinding its foes."
black,"A new Pokémon species, rumored to be from the sun. It gives off light while spinning."
white,"A new Pokémon species, rumored to be from the sun. It gives off light while spinning."
black-2,"Solar energy is the source of its power, so it is strong during the daytime. When it spins, its body shines."
x,"Solar energy is the source of its power, so it is strong during the daytime. When it spins, its body shines."
y,"It absorbs solar energy during the day. Always expressionless, it can sense what its foe is thinking."
omega-ruby,"Solrock is a new species of Pokémon that is said to have fallen from space. It floats in air and moves silently. In battle, this Pokémon releases intensely bright light."
alpha-sapphire,Sunlight is the source of Solrock’s power. It is said to possess the ability to read the emotions of others. This Pokémon gives off intense heat while rotating its body.
sword,"When it rotates itself, it gives off light similar to the sun, thus blinding its foes."
shield,"Solar energy is the source of its power, so it is strong during the daytime. When it spins, its body shines."
