Game,Flavor Text
diamond,It protects itself by spraying a noxious fluid from its rear. The stench lingers for 24 hours.
pearl,"It sprays a nose-curling, stinky fluid from its rear to repel attackers."
platinum,"It sprays a foul fluid from its rear. Its stench spreads over a mile radius, driving Pokémon away."
heartgold,The foul fluid from its rear is so revolting that it can make people feel queasy up to a mile and a quarter away.
soulsilver,The foul fluid from its rear is so revolting that it can make people feel queasy up to a mile and a quarter away.
black,"It sprays a foul fluid from its rear. Its stench spreads over a mile radius, driving Pokémon away."
white,"It sprays a foul fluid from its rear. Its stench spreads over a mile radius, driving Pokémon away."
black-2,"It sprays a foul fluid from its rear. Its stench spreads over a mile radius, driving Pokémon away."
white-2,"It sprays a foul fluid from its rear. Its stench spreads over a mile radius, driving Pokémon away."
x,"It sprays a foul fluid from its rear. Its stench spreads over a mile radius, driving Pokémon away."
y,It protects itself by spraying a noxious fluid from its rear. The stench lingers for 24 hours.
omega-ruby,"It sprays a foul fluid from its rear. Its stench spreads over a mile radius, driving Pokémon away."
alpha-sapphire,It protects itself by spraying a noxious fluid from its rear. The stench lingers for 24 hours.
sword,"From its rear, it sprays a foul-smelling liquid at opponents. It aims for their faces, and it can hit them from over 16 feet away."
shield,"If it lifts its tail and points its rear at you, beware. It’s about to spray you with a fluid stinky enough to make you faint."
legends-arceus,The poison that gushes from its aft end is accompanied by an utterly evil-smelling odor with such potency that one whiff can induce memory loss.
