Game,Flavor Text
black,The temperature of their breath is -58° F. They create snow crystals and make snow fall in the areas around them.
white,This Pokémon formed from icicles bathed in energy from the morning sun. It sleeps buried in snow.
black-2,"Theoretically, this Pokémon formed from icicles bathed in energy from the morning sun. Their breath is -58° F."
white-2,"Theoretically, this Pokémon formed from icicles bathed in energy from the morning sun. Their breath is -58° F."
x,The temperature of their breath is -58 degrees Fahrenheit. They create snow crystals and make snow fall in the areas around them.
y,This Pokémon formed from icicles bathed in energy from the morning sun. It sleeps buried in snow.
omega-ruby,The temperature of their breath is -58 degrees Fahrenheit. They create snow crystals and make snow fall in the areas around them.
alpha-sapphire,This Pokémon formed from icicles bathed in energy from the morning sun. It sleeps buried in snow.
sun,"Born of an icicle, this Pokémon uses its frosty breath to make ice crystals, causing snow to fall."
moon,It feels pleasantly cool when embraced. This Pokémon is treasured by households in warm regions.
ultra-sun,"It exhales cold air that is at –58 degrees Fahrenheit. When it’s in a warm place, it shrinks little by little."
ultra-moon,"When the morning sun hit an icicle, it wished not to melt, and thus Vanillite was born. At night, it buries itself in snow to sleep."
sword,"Unable to survive in hot areas, it makes itself comfortable by breathing out air cold enough to cause snow. It burrows into the snow to sleep."
shield,"Supposedly, this Pokémon was born from an icicle. It spews out freezing air at −58 degrees Fahrenheit to make itself more comfortable."
