Game,Flavor Text
diamond,"It lives alone, away from others. Apparently, every one of them believes it is the most important."
pearl,Its wings deliver wicked blows that snap even the thickest of trees. It searches for prey in icy seas.
platinum,"Because every PRINPLUP considers itself to be the most important, they can never form a group."
heartgold,It lives a solitary life. Its wings deliver wicked blows that can snap even the thickest of trees.
soulsilver,It lives a solitary life. Its wings deliver wicked blows that can snap even the thickest of trees.
black,"Because every Prinplup considers itself to be the most important, they can never form a group."
white,"Because every Prinplup considers itself to be the most important, they can never form a group."
black-2,"Because every Prinplup considers itself to be the most important, they can never form a group."
white-2,"Because every Prinplup considers itself to be the most important, they can never form a group."
x,"It lives alone, away from others. Apparently, every one of them believes it is the most important."
y,It lives a solitary life. Its wings deliver wicked blows that can snap even the thickest of trees.
omega-ruby,"It lives alone, away from others. Apparently, every one of them believes it is the most important."
alpha-sapphire,It lives a solitary life. Its wings deliver wicked blows that can snap even the thickest of trees.
legends-arceus,"It swims gracefully through the frigid sea and sings with a voice like the roaring tide. It has powerful, sturdy wings and dignity to match."
