Game,Flavor Text
ruby,GROUDON has long been described in  mythology as the POKéMON that raised lands and expanded continents. This POKéMON took to sleep after a cataclysmic battle with KYOGRE.
sapphire,GROUDON has the power to scatter rain clouds and make water evaporate with light and heat. It came as a savior to people who had been suffering from terrible floods.
emerald,GROUDON has appeared in mythology as the creator of the land. It sleeps in magma underground and is said to make volcanoes erupt on awakening.
firered,This legendary POKéMON is said to represent the land. It went to sleep after dueling KYOGRE.
leafgreen,This legendary POKéMON is said to represent the land. It went to sleep after dueling KYOGRE.
diamond,It had been asleep in underground magma ever since it fiercely fought KYOGRE long ago.
pearl,It had been asleep in underground magma ever since it fiercely fought KYOGRE long ago.
platinum,It had been asleep in underground magma ever since it fiercely fought KYOGRE long ago.
heartgold,Said to have expanded the lands by evaporating water with raging heat. It battled titanically with KYOGRE.
soulsilver,Said to have expanded the lands by evaporating water with raging heat. It battled titanically with KYOGRE.
black,It had been asleep in underground magma ever since it fiercely fought Kyogre long ago.
white,It had been asleep in underground magma ever since it fiercely fought Kyogre long ago.
black-2,It had been asleep in underground magma ever since it fiercely fought Kyogre long ago.
white-2,It had been asleep in underground magma ever since it fiercely fought Kyogre long ago.
x,Said to have expanded the lands by evaporating water with raging heat. It battled titanically with Kyogre.
y,This legendary Pokémon is said to represent the land. It went to sleep after dueling Kyogre.
omega-ruby,"Groudon is said to be the personification of the land itself. Legends tell of its many clashes against Kyogre, as each sought to gain the power of nature."
alpha-sapphire,"Through Primal Reversion and with nature’s full power, it will take back its true form. It can cause magma to erupt and expand the landmass of the world."
