Game,Flavor Text
diamond,It puts rocks in holes in its palms and uses its muscles to shoot them. GEODUDE are shot at rare times.
pearl,It puts rocks in holes in its palms and uses its muscles to shoot them. GEODUDE are shot at rare times.
platinum,It can launch a rock held in its hand like a missile by tightening then expanding muscles instantly.
heartgold,"From holes in its palms, it fires out GEODUDE. Its carapace  can withstand volcanic eruptions."
soulsilver,"From holes in its palms, it fires out GEODUDE. Its carapace  can withstand volcanic eruptions."
black,It can launch a rock held in its hand like a missile by tightening then expanding muscles instantly.
white,It can launch a rock held in its hand like a missile by tightening then expanding muscles instantly.
black-2,It can launch a rock held in its hand like a missile by tightening then expanding muscles instantly.
white-2,It can launch a rock held in its hand like a missile by tightening then expanding muscles instantly.
x,"From holes in its palms, it fires out Geodude. Its carapace can withstand volcanic eruptions."
y,It puts rocks in holes in its palms and uses its muscles to shoot them. Geodude are shot at rare times.
omega-ruby,"From holes in its palms, it fires out Geodude. Its carapace can withstand volcanic eruptions."
alpha-sapphire,It puts rocks in holes in its palms and uses its muscles to shoot them. Geodude are shot at rare times.
sword,It can load up to three projectiles per arm into the holes in its hands. What launches out of those holes could be either rocks or Roggenrola.
shield,"It relies on its carapace to deflect incoming attacks and throw its enemy off balance. As soon as that happens, it drives its drill into the foe."
legends-arceus,This Pokémon evolved through use of a curious item. Its rocklike hide is composed of a mysterious substance and can withstand a blow from a masterwork sword with nary a scratch.
