Game,Flavor Text
x,"The weakest Dragon-type Pokémon, it lives in damp, shady places, so its body doesn’t dry out."
y,It’s covered in a slimy membrane that makes any punches or kicks slide off it harmlessly.
omega-ruby,"The weakest Dragon-type Pokémon, it lives in damp, shady places, so its body doesn’t dry out."
alpha-sapphire,It’s covered in a slimy membrane that makes any punches or kicks slide off it harmlessly.
sun,"The weakest of all Dragon-type Pokémon, it’s unable to breathe if its skin dries out, so it sticks to shady places."
moon,"Its source of protection is its slimy, germ-laden mucous membrane. Anyone who touches it needs some thorough hand-washing."
ultra-sun,"It uses its horns to check out its surroundings. They’re very sensitive, so if you grab them, it will feel a strong shock and be unable to move."
ultra-moon,"Its body is mostly water. If it dries out, it will die, so it’s always sitting with perfect stillness in the shade."
sword,"Because most of its body is water, it will dry up if the weather becomes too arid. It’s considered the weakest dragon Pokémon."
shield,"Their horns are powerful sensors. As soon as Goomy pick up any sign of enemies, they go into hiding. This is how they’ve survived."
legends-arceus,"Goomy hides away in the shade of trees, where it's nice and humid. If the slime coating its body dries out, the Pokémon instantly becomes lethargic."
