Game,Flavor Text
black,"When it is not feeling well, its mucus gets watery and the power of its Ice-type moves decreases."
white,Its nose is always running. It sniffs the snot back up because the mucus provides the raw material for its moves.
black-2,"Their snot is a barometer of health. When healthy, their snot is sticky and the power of their ice moves increases."
white-2,"Their snot is a barometer of health. When healthy, their snot is sticky and the power of their ice moves increases."
x,Its nose is always running. It sniffs the snot back up because the mucus provides the raw material for its moves.
y,"Their snot is a barometer of health. When healthy, their snot is sticky and the power of their ice moves increases."
omega-ruby,Its nose is always running. It sniffs the snot back up because the mucus provides the raw material for its moves.
alpha-sapphire,"Their snot is a barometer of health. When healthy, their snot is sticky and the power of their ice moves increases."
sword,"When this Pokémon is in good health, its snot becomes thicker and stickier. It will smear its snot on anyone it doesn’t like."
shield,"It sniffles before performing a move, using its frosty snot to provide an icy element to any move that needs it."
