Game,Flavor Text
ruby,"SALAMENCE came about as a result of a strong, long-held dream of growing wings. It is said that this powerful desire triggered a sudden mutation in this POKéMON’s cells, causing it to sprout its magnificent wings."
sapphire,"By evolving into SALAMENCE, this POKéMON finally realizes its long-held dream of growing wings. To express its joy, it flies and wheels all over the sky while spouting flames from its mouth."
emerald,"After many long years, its cellular structure underwent a sudden mutation to grow wings. When angered, it loses all thought and rampages out of control."
firered,It becomes uncontrollable if it is enraged. It destroys everything with shredding claws and fire.
leafgreen,It becomes uncontrollable if it is enraged. It destroys everything with shredding claws and fire.
diamond,"As a result of its long-held dream of flying, its cellular structure changed, and wings grew out."
pearl,"As a result of its long-held dream of flying, its cellular structure changed, and wings grew out."
platinum,"As a result of its long-held dream of flying, its cellular structure changed, and wings grew out."
heartgold,It’s uncontrollable if enraged. It flies around spouting flames and scorching fields and mountains.
soulsilver,It’s uncontrollable if enraged. It flies around spouting flames and scorching fields and mountains.
black,"As a result of its long-held dream of flying, its cellular structure changed, and wings grew out."
white,"As a result of its long-held dream of flying, its cellular structure changed, and wings grew out."
black-2,"As a result of its long-held dream of flying, its cellular structure changed, and wings grew out."
white-2,"As a result of its long-held dream of flying, its cellular structure changed, and wings grew out."
x,It becomes uncontrollable if it is enraged. It destroys everything with shredding claws and fire.
y,It’s uncontrollable if enraged. It flies around spouting flames and scorching fields and mountains.
omega-ruby,"Salamence came about as a result of a strong, long-held dream of growing wings. It is said that this powerful desire triggered a sudden mutation in this Pokémon’s cells, causing it to sprout its magnificent wings."
alpha-sapphire,"By evolving into Salamence, this Pokémon finally realizes its long-held dream of growing wings. To express its joy, it flies and wheels all over the sky while spouting flames from its mouth."
sun,"When angered, it loses all sense of itself and destroys everything around it. The destruction will continue until Salamence has tired itself out."
moon,"It flies around on its wings, which have grown in at last. In its happiness, it gushes hot flames, burning up the fields it passes over."
ultra-sun,"Overjoyed at finally being able to fly, it flies all over the place and usually doesn’t land until it’s completely exhausted and needs to sleep."
ultra-moon,"Thanks to its fervent wishes, the cells in its body finally mutated, and at last it has its heart’s desire—wings."
sword,Salamence is an unusual Pokémon in that it was able to evolve a body with wings just by constantly wishing to be able to fly.
shield,"While basking in the joy of flight generally keeps this Pokémon in high spirits, Salamence turns into an uncontrollable menace if something angers it."
