Game,Flavor Text
black,Their white fur is coated in a special oil that makes it easy for them to deflect attacks.
white,Their white fur feels amazing to touch. Their fur repels dust and prevents static electricity from building up.
black-2,"Cinccino’s body is coated in a special oil that helps it deflect attacks, such as punches."
white-2,"Cinccino’s body is coated in a special oil that helps it deflect attacks, such as punches."
x,Their white fur feels amazing to touch. Their fur repels dust and prevents static electricity from building up.
y,"Cinccino’s body is coated in a special oil that helps it deflect attacks, such as punches."
omega-ruby,Their white fur feels amazing to touch. Their fur repels dust and prevents static electricity from building up.
alpha-sapphire,"Cinccino’s body is coated in a special oil that helps it deflect attacks, such as punches."
ultra-sun,"The white parts of its coat are covered in an oil secreted from its body, so this Pokémon can slide right away from its enemies’ attacks."
ultra-moon,"The oil that seeps from its body is really smooth. For people troubled by bad skin, this oil is an effective treatment."
sword,Its body secretes oil that this Pokémon spreads over its nest as a coating to protect it from dust. Cinccino won’t tolerate even a speck of the stuff.
shield,A special oil that seeps through their fur helps them avoid attacks. The oil fetches a high price at market.
