Game,Flavor Text
gold,"If you become enchanted by its smooth, elegant, dance-like kicks, you may get drilled hard."
silver,"It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground."
crystal,"After doing a handstand to throw off the opponent's timing, it presents its fancy kick moves."
ruby,"HITMONTOP spins on its head at high speed, all the while delivering kicks. This technique is a remarkable mix of both offense and defense at the same time. The POKéMON travels faster spinning than it does walking."
sapphire,"HITMONTOP spins on its head at high speed, all the while delivering kicks. This technique is a remarkable mix of both offense and defense at the same time. The POKéMON travels faster spinning than it does walking."
emerald,Its technique of kicking while spinning is a remarkable mix of both offense and defense. HITMONTOP travel faster spinning than they do walking.
firered,"It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground."
leafgreen,"If you become enchanted by its smooth, elegant, dance-like kicks, you may get drilled hard."
diamond,It fights while spinning like a top. The centrifugal force boosts its destructive power by ten.
pearl,It fights while spinning like a top. The centrifugal force boosts its destructive power by ten.
platinum,It fights while spinning like a top. The centrifugal force boosts its destructive power by ten.
heartgold,"If you are enchanted by its smooth, dance-like kicks, you may get a closer experience with one than you’d like."
soulsilver,"It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground."
black,It fights while spinning like a top. The centrifugal force boosts its destructive power by ten.
white,It fights while spinning like a top. The centrifugal force boosts its destructive power by ten.
black-2,It fights while spinning like a top. The centrifugal force boosts its destructive power by 10.
white-2,It fights while spinning like a top. The centrifugal force boosts its destructive power by 10.
x,It fights while spinning like a top. The centrifugal force boosts its destructive power by 10.
y,"If you are enchanted by its smooth, dance-like kicks, you may get a closer experience with one than you’d like."
omega-ruby,"Hitmontop spins on its head at high speed, all the while delivering kicks. This technique is a remarkable mix of both offense and defense at the same time. The Pokémon travels faster spinning than it does walking."
alpha-sapphire,"Hitmontop spins on its head at high speed, all the while delivering kicks. This technique is a remarkable mix of both offense and defense at the same time. The Pokémon travels faster spinning than it does walking."
sword,"It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground."
shield,"After doing a handstand to throw off the opponent’s timing, it presents its fancy kick moves."
