Game,Flavor Text
diamond,There is a long-held belief that medicine made from its scales will heal even incurable illnesses.
pearl,It habitually digs up and hoards gems in its nest. Its loot is constantly targeted by thieves.
platinum,It loves sparkly things. It seeks treasures in caves and hoards the loot in its nest.
heartgold,"As it digs to expand its nest, it habitually digs up gems that it then hoards in its nest."
soulsilver,"As it digs to expand its nest, it habitually digs up gems that it then hoards in its nest."
black,It loves sparkly things. It seeks treasures in caves and hoards the loot in its nest.
white,It loves sparkly things. It seeks treasures in caves and hoards the loot in its nest.
black-2,It loves sparkly things. It seeks treasures in caves and hoards the loot in its nest.
white-2,It loves sparkly things. It seeks treasures in caves and hoards the loot in its nest.
x,It loves sparkly things. It seeks treasures in caves and hoards the loot in its nest.
y,"As it digs to expand its nest, it habitually digs up gems that it then hoards in its nest."
omega-ruby,It loves sparkly things. It seeks treasures in caves and hoards the loot in its nest.
alpha-sapphire,"As it digs to expand its nest, it habitually digs up gems that it then hoards in its nest."
sun,"In rare cases, it molts and sheds its scales. Medicine containing its scales as an ingredient will make a weary body feel invigorated."
moon,"Shiny objects are its passion. It can be found in its cave, scarcely moving, its gaze fixed on the jewels it’s amassed or Carbink it has caught."
ultra-sun,"It loves shiny things. When it finds a Sableye trying to catch a Carbink, Gabite becomes furiously angry and attacks the Sableye."
ultra-moon,It sheds its skin and gradually grows larger. Its scales can be ground into a powder and used as raw materials for traditional medicine.
sword,This Pokémon emits ultrasonic waves from a protrusion on either side of its head to probe pitch-dark caves.
shield,"Jewels are buried in the caves these Pokémon nest in, but you’ll be torn apart by claws and fangs the moment you enter one of these caves."
legends-arceus,"Though Gabite are usually of a violent disposition, when I gave one a glass bead it had been eyeing covetously, it suddenly became quite docile."
