Game,Flavor Text
red,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.
blue,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.
yellow,"They appear to be very protective of their own world. It is a kind of fairy, rarely seen by people."
gold,"With its acute hearing, it can pick up sounds from far away. It usually hides in quiet places."
silver,"Its very sensitive ears lets it dis­ tinguish distant sounds. As a re­ sult, it prefers quiet places."
crystal,"Said to live in quiet, remote mountains, this type of fairy has a strong aversion to being seen."
ruby,"CLEFABLE moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights."
sapphire,"CLEFABLE moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights."
emerald,"A CLEFABLE uses its wings to skip lightly  as if it were flying. Its bouncy step lets it even walk on water. On quiet, moonlit nights, it strolls on lakes."
firered,"It has an acute sense of hearing. It can easily hear a pin being dropped nearly 1,100 yards away."
leafgreen,"A timid fairy POKéMON that is rarely seen, it will run and hide the moment it senses people."
diamond,"Rarely seen by people, it is said to be drawn by the full moon to play at deserted lakes."
pearl,Its hearing is so acute it can hear a pin drop over half a mile away. It lives on quiet mountains.
platinum,It is very wary and rarely shows itself to people. Its ears can hear a pin drop over half a mile away.
heartgold,"With its acute hearing, it can pick up sounds from far away. It usually hides in quiet places."
soulsilver,"Its very sensitive ears let it distinguish distant sounds. As a result, it prefers quiet places."
black,It is very wary and rarely shows itself to people. Its ears can hear a pin drop over half a mile away.
white,It is very wary and rarely shows itself to people. Its ears can hear a pin drop over half a mile away.
black-2,"Their ears are sensitive enough to hear a pin drop from over a mile away, so they’re usually found in quiet places."
white-2,"Their ears are sensitive enough to hear a pin drop from over a mile away, so they’re usually found in quiet places."
x,Its hearing is so acute it can hear a pin drop over half a mile away. It lives on quiet mountains.
y,"A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people."
omega-ruby,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights."
alpha-sapphire,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights."
sun,They don’t like to reveal themselves in front of people. They live quietly in packs deep in the mountains.
moon,"According to tradition, people who see a pair of Clefable skipping by can look forward to a happy marriage."
ultra-sun,"It can’t help but hear a pin drop from over half a mile away, so it lives deep in the mountains where there aren’t many people or Pokémon."
ultra-moon,Some scientists believe that it gazes intently at the sky on nights with a full moon because it’s homesick.
lets-go-pikachu,"They appear to be very protective of their own world. It is a kind of fairy, rarely seen by people."
lets-go-eevee,"They appear to be very protective of their own world. It is a kind of fairy, rarely seen by people."
sword,"A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people."
shield,"Their ears are sensitive enough to hear a pin drop from over a mile away, so they’re usually found in quiet places."
legends-arceus,"Legend says that on clear, quiet nights, it listens for the voices of its kin living on the moon. I, too, often think of my homeland, so far away."
