Game,Flavor Text
gold,"If you are burned by the flames it shoots from its mouth, the pain will never go away."
silver,"Upon hearing its eerie howls, other POKéMON get the shivers and head straight back to their nests."
crystal,The pungent- smelling flame that shoots from its mouth results from toxins burn­ ing in its body.
ruby,"In a HOUNDOOM pack, the one with its horns raked sharply towards the back serves a leadership role. These POKéMON choose their leader by fighting amongst themselves."
sapphire,"In a HOUNDOOM pack, the one with its horns raked sharply towards the back serves a leadership role. These POKéMON choose their leader by fighting amongst themselves."
emerald,"In a HOUNDOOM pack, the one with its horns raked sharply back serves a leadership role. They choose their leader by fighting among themselves."
firered,"Upon hearing its eerie howls, other POKéMON get the shivers and head straight back to their nests."
leafgreen,"If you are burned by the flames it shoots from its mouth, the pain will never go away."
diamond,"Long ago, people imagined its eerie howls to be the call of the grim reaper."
pearl,"Long ago, people imagined its eerie howls to be the call of the grim reaper."
platinum,"The flames it breathes when angry contain toxins. If they cause a burn, it will hurt forever."
heartgold,"If you are burned by the flames it shoots from its mouth, the pain will never go away."
soulsilver,"Upon hearing its eerie howls, other Pokémon get the shivers and head straight back to their nests."
black,"The flames it breathes when angry contain toxins. If they cause a burn, it will hurt forever."
white,"The flames it breathes when angry contain toxins. If they cause a burn, it will hurt forever."
black-2,"The flames it breathes when angry contain toxins. If they cause a burn, it will hurt forever."
white-2,"The flames it breathes when angry contain toxins. If they cause a burn, it will hurt forever."
x,"Long ago, people imagined its eerie howls to be the call of the grim reaper."
y,"The flames it breathes when angry contain toxins. If they cause a burn, it will hurt forever."
omega-ruby,"In a Houndoom pack, the one with its horns raked sharply toward the back serves a leadership role. These Pokémon choose their leader by fighting among themselves."
alpha-sapphire,"In a Houndoom pack, the one with its horns raked sharply toward the back serves a leadership role. These Pokémon choose their leader by fighting among themselves."
ultra-sun,They spew flames mixed with poison to finish off their opponents. They divvy up their prey evenly among the members of their pack.
ultra-moon,"Identifiable by its eerie howls, people a long time ago thought it was the grim reaper and feared it."
