Game,Flavor Text
ruby,"WAILORD is the largest of all identified POKéMON up to now. This giant POKéMON swims languorously in the vast open sea, eating massive amounts of food at once with its enormous mouth."
sapphire,"When chasing prey, WAILORD herds them by leaping out of the water and making a humongous splash. It is breathtaking to see this POKéMON leaping out of the sea with others in its pod."
emerald,"It breathes through nostrils that it raises above the sea. By inhaling to its maximum capacity, a WAILORD can dive close to 10,000 feet beneath the waves."
firered,It is among the largest of all POKéMON. It herds prey in a pack then swallows the massed prey in one gulp.
leafgreen,It is among the largest of all POKéMON. It herds prey in a pack then swallows the massed prey in one gulp.
diamond,"The biggest of all Pokémon. It can dive to a depth of almost 10,000 feet on only one breath."
pearl,"The biggest of all Pokémon. It can dive to a depth of almost 10,000 feet on only one breath."
platinum,"The biggest of all Pokémon. It can dive to a depth of almost 10,000 feet on only one breath."
heartgold,It is the largest of all identified Pokémon. They jump as a pack to herd their prey.
soulsilver,It is the largest of all identified Pokémon. They jump as a pack to herd their prey.
black,"The biggest of all Pokémon. It can dive to a depth of almost 10,000 feet on only one breath."
white,"The biggest of all Pokémon. It can dive to a depth of almost 10,000 feet on only one breath."
black-2,It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water.
white-2,It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water.
x,It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water.
y,"The biggest of all Pokémon. It can dive to a depth of almost 10,000 feet on only one breath."
omega-ruby,"Wailord is the largest of all identified Pokémon up to now. This giant Pokémon swims languorously in the vast open sea, eating massive amounts of food at once with its enormous mouth."
alpha-sapphire,"When chasing prey, Wailord herds them by leaping out of the water and making a humongous splash. It is breathtaking to see this Pokémon leaping out of the sea with others in its pod."
sun,"Wailord pursue their prey in pods. With their large mouths, they can swallow entire schools of Wishiwashi whole."
moon,Its immense size is the reason for its popularity. Wailord watching is a favorite sightseeing activity in various parts of the world.
ultra-sun,"They eat so many fish Pokémon that when Wailord become too numerous, fishermen have to chase them off."
ultra-moon,"When a small Wailmer is attacked by Sharpedo or Dhelmise, its whole pod works together to protect it."
sword,It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water.
shield,Its immense size is the reason for its popularity. Wailord watching is a favorite sightseeing activity in various parts of the world.
