Game,Flavor Text
gold,The rain clouds it carries let it fire thunderbolts at will. They say that it descended with lightning.
silver,A POKéMON that races across the land while barking a cry that sounds like crashing thunder.
crystal,"This rough POKéMON stores energy inside its body, then sweeps across the land, shooting off electricity."
ruby,RAIKOU embodies the speed of lightning. The roars of this POKéMON send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.
sapphire,RAIKOU embodies the speed of lightning. The roars of this POKéMON send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.
emerald,RAIKOU embodies the speed of lightning. Its roars send shock waves shuddering through the air and ground as if lightning bolts were crashing down.
firered,This POKéMON races across the land while barking a cry that sounds like crashing thunder.
leafgreen,The rain clouds it carries let it fire thunderbolts at will. They say that it descended with lightning.
diamond,It is said to have fallen with lightning. It can fire thunderbolts from the rain clouds on its back.
pearl,It is said to have fallen with lightning. It can fire thunderbolts from the rain clouds on its back.
platinum,It is said to have fallen with lightning. It can fire thunderbolts from the rain clouds on its back.
heartgold,The rain clouds it carries let it fire thunderbolts at will. They say that it descended with lightning.
soulsilver,A Pokémon that races across the land while barking a cry that sounds like crashing thunder.
black,It is said to have fallen with lightning. It can fire thunderbolts from the rain clouds on its back.
white,It is said to have fallen with lightning. It can fire thunderbolts from the rain clouds on its back.
black-2,It is said to have fallen with lightning. It can fire thunderbolts from the rain clouds on its back.
white-2,It is said to have fallen with lightning. It can fire thunderbolts from the rain clouds on its back.
x,The rain clouds it carries let it fire thunderbolts at will. They say that it descended with lightning.
y,"This rough Pokémon stores energy inside its body, then sweeps across the land, shooting off electricity."
omega-ruby,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.
alpha-sapphire,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.
