Game,Flavor Text
red,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees."
blue,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees."
yellow,"It has a flame chamber inside its body. It inhales, then blows out fire that is over 3,000F degrees."
gold,"It stores some of the air it inhales in its internal flame pouch, which heats it to over 3,000 degrees."
silver,"It fluffs out its fur collar to cool down its body temperature, which can reach 1,650 degrees."
crystal,"Once it has stored up enough heat, this POKéMON's body temperature can reach up to 1700 degrees."
ruby,"FLAREON’s fluffy fur has a functional purpose - it releases heat into the air so that its body does not get excessively hot. This POKéMON’s body temperature can rise to a maximum of 1,650 degrees F."
sapphire,"FLAREON’s fluffy fur has a functional purpose - it releases heat into the air so that its body does not get excessively hot. This POKéMON’s body temperature can rise to a maximum of 1,650 degrees F."
emerald,"FLAREON’s fluffy fur releases heat into the air so that its body does not get excessively hot. Its body temperature can rise to a maximum of 1,650 degrees F."
firered,"It has a flame bag inside its body. After inhaling deeply, it blows out flames of nearly 3,100 degrees Fahrenheit."
leafgreen,"When storing thermal energy in its body, its temperature can soar to over 1,600 degrees Fahrenheit."
diamond,"It has a flame sac in its body. Its body temperature tops 1,650 degrees Fahrenheit before battle."
pearl,"It has a flame sac in its body. Its body temperature tops 1,650 degrees Fahrenheit before battle."
platinum,"Inhaled air is heated in the flame sac in its body to an intense fire over 3,000 degrees Fahrenheit."
heartgold,"It stores some of the air it inhales in its internal flame pouch, which heats it to over 3,000 degrees Fahrenheit."
soulsilver,"It fluffs out its fur collar to cool down its body temperature, which can reach 1,650 degrees Fahrenheit."
black,"Inhaled air is heated in the flame sac in its body to an intense fire over 3,000 degrees Fahrenheit."
white,"Inhaled air is heated in the flame sac in its body to an intense fire over 3,000 degrees Fahrenheit."
black-2,"Inhaled air is carried to its flame sac, heated, and exhaled as fire that reaches over 3,000 degrees F."
white-2,"Inhaled air is carried to its flame sac, heated, and exhaled as fire that reaches over 3,000 degrees F."
x,"It has a flame sac in its body. Its body temperature tops 1,650 degrees Fahrenheit before battle."
y,"It has a flame bag inside its body. After inhaling deeply, it blows out flames of nearly 3,000 degrees Fahrenheit."
omega-ruby,"Flareon’s fluffy fur has a functional purpose—it releases heat into the air so that its body does not get excessively hot. This Pokémon’s body temperature can rise to a maximum of 1,650 degrees Fahrenheit."
alpha-sapphire,"Flareon’s fluffy fur has a functional purpose—it releases heat into the air so that its body does not get excessively hot. This Pokémon’s body temperature can rise to a maximum of 1,650 degrees Fahrenheit."
sun,"When it catches prey or finds berries, it breathes fire on them until they’re well done, and then it gobbles them up."
moon,"Its average body temperature is between 1,300 and 1,500 degrees Fahrenheit. In its internal flame sac, temperatures reach 3,000 degrees."
ultra-sun,"If it inhales deeply, that’s a sign it’s about to attack. Prepare to be hit by flames of over 3,000 degrees Fahrenheit!"
ultra-moon,"The flame chamber inside its body ignites when Flareon gets agitated, reaching temperatures of up to 1,650 degrees Fahrenheit."
lets-go-pikachu,"It has a flame chamber inside its body. It inhales, then breathes out fire that is over 3,000 degrees Fahrenheit."
lets-go-eevee,"It has a flame chamber inside its body. It inhales, then breathes out fire that is over 3,000 degrees Fahrenheit."
sword,"Once it has stored up enough heat, this Pokémon’s body temperature can reach up to 1,700 degrees Fahrenheit."
shield,"It stores some of the air it inhales in its internal flame pouch, which heats it to over 3,000 degrees Fahrenheit."
legends-arceus,"Flames burn within a saclike organ inside this Pokémon. When Flareon inhales, these flames grow in intensity, reaching a mighty 3,000 degrees Fahrenheit."
