Game,Flavor Text
black,"It leads a group of Pawniard. It battles to become the boss, but will be driven from the group if it loses."
white,Bisharp pursues prey in the company of a large group of Pawniard. Then Bisharp finishes off the prey.
black-2,This pitiless Pokémon commands a group of Pawniard to hound prey into immobility. It then moves in to finish the prey off.
white-2,This pitiless Pokémon commands a group of Pawniard to hound prey into immobility. It then moves in to finish the prey off.
x,This pitiless Pokémon commands a group of Pawniard to hound prey into immobility. It then moves in to finish the prey off.
y,Bisharp pursues prey in the company of a large group of Pawniard. Then Bisharp finishes off the prey.
omega-ruby,This pitiless Pokémon commands a group of Pawniard to hound prey into immobility. It then moves in to finish the prey off.
alpha-sapphire,Bisharp pursues prey in the company of a large group of Pawniard. Then Bisharp finishes off the prey.
ultra-sun,"No matter how strong the Bisharp, it’s said that if the blade on its head is chipped, it will retire from its position as the boss."
ultra-moon,It leads a group of Pawniard. Bisharp doesn’t even change its expression when it deals the finishing blow to an opponent.
sword,"It’s accompanied by a large retinue of Pawniard. Bisharp keeps a keen eye on its minions, ensuring none of them even think of double-crossing it."
shield,Violent conflicts erupt between Bisharp and Fraxure over places where sharpening stones can be found.
