Game,Flavor Text
gold,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close."
silver,It spins a web using fine--but durable--thread. It then waits pa­ tiently for prey to be trapped.
crystal,"If prey becomes ensnared in its nest of spun string, it waits motionlessly until it becomes dark."
ruby,The web spun by SPINARAK can be considered its second nervous system. It is said that this POKéMON can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web’s strands.
sapphire,The web spun by SPINARAK can be considered its second nervous system. It is said that this POKéMON can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web’s strands.
emerald,The web it spins can be considered its second nervous system. It is said that a SPINARAK determines its prey by the tiny vibrations it feels through the web.
firered,It spins a web using fine--but durable-- thread. It then waits patiently for prey to be trapped.
leafgreen,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close."
diamond,It sets a trap by spinning a web with thin but strong silk. It waits motionlessly for prey to arrive.
pearl,It sets a trap by spinning a web with thin but strong silk. It waits motionlessly for prey to arrive.
platinum,It sets a trap by spinning a web with thin but strong silk. It waits motionlessly for prey to arrive.
heartgold,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close."
soulsilver,It spins a web using fine--but durable--thread. It then waits patiently for prey to be trapped.
black,It sets a trap by spinning a web with thin but strong silk. It waits motionlessly for prey to arrive.
white,It sets a trap by spinning a web with thin but strong silk. It waits motionlessly for prey to arrive.
black-2,It sets a trap by spinning a web with thin but strong silk. It waits motionlessly for prey to arrive.
white-2,It sets a trap by spinning a web with thin but strong silk. It waits motionlessly for prey to arrive.
x,It spins a web using fine--but durable--thread. It then waits patiently for prey to be trapped.
y,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close."
omega-ruby,The web spun by Spinarak can be considered its second nervous system. It is said that this Pokémon can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web’s strands.
alpha-sapphire,The web spun by Spinarak can be considered its second nervous system. It is said that this Pokémon can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web’s strands.
sun,"It waits intently until its preferred prey, Cutiefly, gets caught in its web. In fact, it’s quite a patient Pokémon."
moon,Some fishermen weave its sturdy thread into nets to catch fish Pokémon.
ultra-sun,"With threads from its mouth, it fashions sturdy webs that won’t break even if you set a rock on them."
ultra-moon,"Although the poison from its fangs isn’t that strong, it’s potent enough to weaken prey that gets caught in its web."
